,K
% Below High,0.10369999999999999
% Held by Institutions,0.8106
52-Wk Range,['51.34 - 71.05']
Annual Dividend $,2.28
Annual Dividend %,0.0364
Ask,65.5
Ask Size,200.0
B/A Ratio,5.5
B/A Size,1100x200
Beta,0.6
Bid,63.0
Bid Size,1100.0
Closing Price,63.68
Day Change $,0.99
Day Change %,0.0158
Day High,63.83
Day Low,62.76
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",2.99
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.326
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,21.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.93
Prev Close,62.69
Short Interest,0.0286
Today's Open,63.21
Volume,1362830.0
Volume 10-day Avg,2026720.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.012722646310432628
Growth 1yr Consensus Est,-0.006361323155216314
Growth 2yr Low Est,0.0013477088948787852
Growth 2yr High Est,0.019411872721072365
Growth 2yr Consensus Est,0.010379790807975575
Growth 5yr Low Est,-0.01578762037018941
Growth 5yr High Est,0.00016654547203884262
Growth 5yr Consensus Est,-0.007810537449075283
Growth 5yr Actual/Est,-0.006833606283710991
Growth 3yr Historic,-0.004571776461710836
Price/Earnings (TTM),20.93246
Price/Sales (TTM),1.59504
Price/Book (MRQ),9.87004
Price/Cash Flow (TTM),14.07732
5yr Low,51.34
5yr High,87.16
5yr Avg Return,0.011683333333333334
EPS Growth 5yr,0.09777200000000001
Revenue Growth 5yr,-0.0141391
Dividend Growth 5yr,0.035311300000000004
Short Int Current Month,9725066.0
Short Int Prev Month,10492543.0
Short Int Pct of Float,0.0285954
Days to Cover,4.57967
Float,340.1317
Shares Outstanding,342.67
Institutions Holding Shares,1056.0
FCF Growth 5yr,-3.071979016770389
"Price/Earnings (TTM, GAAP)",20.93
"PEG Ratio (TTM, GAAP)",11.76
Gross Profit Margin (TTM),0.31620000000000004
Operating Profit Margin (TTM),0.10980000000000001
Net Profit Margin (TTM),0.0779
Annual Dividend Yield,0.0364
Dividend Change %,0.0273
"Dividend Growth Rate, 3 Years",0.0347
EPS Growth (MRQ),1.3722
EPS Growth (TTM),-0.1066
Revenue Growth (MRQ),0.058600000000000006
Revenue Growth (TTM),-0.0146
Return On Equity (TTM),0.3937
Return On Assets (TTM),0.0572
Return On Investment (TTM),0.08380000000000001
Revenue Per Employee (TTM),434452.0
Total Debt/Total Capital (MRQ),0.7245
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),18.08
newConstructs,2
researchTeam,accumulate
cfra,4
theStreet,buy
ford,1
creditSuisse,outperform
marketEdge opinion,long
marketEdge,-1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-07 00:00:00
cfra since,2020-05-07 00:00:00
theStreet since,2019-08-13 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2020-01-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
