,TROW
% Below High,0.18420000000000003
% Held by Institutions,0.715
52-Wk Range,['82.51 - 139.82']
Annual Dividend $,3.6
Annual Dividend %,0.0323
Ask,114.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,107.9
Bid Size,100.0
Closing Price,114.06
Day Change $,2.72
Day Change %,0.024399999999999998
Day High,114.5
Day Low,112.53
Dividend Pay Date,2020-03-30 00:00:00
"EPS (TTM, GAAP)",8.03
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.46
Last (size),72.0
Last (time),3:59p ET 05/08/20
Market Cap,26.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.21
Prev Close,111.34
Short Interest,0.0359
Today's Open,114.01
Volume,666791.0
Volume 10-day Avg,1162601.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.19820971867007686
Growth 1yr High Est,-0.053217821782178154
Growth 1yr Consensus Est,-0.1257137702261275
Growth 2yr Low Est,-0.07677631069070034
Growth 2yr High Est,0.006724422442244249
Growth 2yr Consensus Est,-0.03502594412422805
Growth 5yr Low Est,0.0665190396769283
Growth 5yr High Est,0.07594075076462414
Growth 5yr Consensus Est,0.07122989522077622
Growth 5yr Actual/Est,0.04584412575235805
Growth 3yr Historic,0.06831031636863827
Price/Earnings (TTM),14.21188
Price/Sales (TTM),4.51127
Price/Book (MRQ),4.04165
Price/Cash Flow (TTM),12.62058
5yr Low,62.97
5yr High,139.82
5yr Avg Return,0.08209999999999999
EPS Growth 5yr,0.138675
Revenue Growth 5yr,0.0674688
Dividend Growth 5yr,0.0727338
Short Int Current Month,8238712.0
Short Int Prev Month,8406714.0
Short Int Pct of Float,0.0358788
Days to Cover,5.6234
Float,223.606
Shares Outstanding,227.5489
Institutions Holding Shares,1158.0
FCF Growth 5yr,6.363064389739845
"Price/Earnings (TTM, GAAP)",14.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.44530000000000003
Net Profit Margin (TTM),0.3236
Annual Dividend Yield,0.0316
Dividend Change %,0.0857
"Dividend Growth Rate, 3 Years",0.1207
EPS Growth (MRQ),-0.36960000000000004
EPS Growth (TTM),0.0443
Revenue Growth (MRQ),-0.0042
Revenue Growth (TTM),0.071
Return On Equity (TTM),0.2997
Return On Assets (TTM),0.21780000000000002
Return On Investment (TTM),0.2693
Revenue Per Employee (TTM),781154.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.46
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,buy
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-03-06 00:00:00
cfra since,2018-10-30 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,2018-05-16 00:00:00
