,FISV
% Below High,0.16210000000000002
% Held by Institutions,0.9198999999999999
52-Wk Range,['73.50 - 125.05']
Annual Dividend $,
Annual Dividend %,
Ask,105.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.8
Bid,104.12
Bid Size,100.0
Closing Price,104.78
Day Change $,-2.54
Day Change %,-0.023700000000000002
Day High,108.83
Day Low,103.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.81
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,70.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",59.32
Prev Close,107.32
Short Interest,0.0227
Today's Open,106.69
Volume,8497173.0
Volume 10-day Avg,4167615.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.08270676691729328
Growth 1yr High Est,0.2178217821782178
Growth 1yr Consensus Est,0.06755750763046225
Growth 2yr Low Est,0.07340071490200911
Growth 2yr High Est,0.2186669886500845
Growth 2yr Consensus Est,0.1460338517760468
Growth 5yr Low Est,-0.015382975882328759
Growth 5yr High Est,0.056599119325042246
Growth 5yr Consensus Est,0.020608071721356744
Growth 5yr Actual/Est,0.20668194312608767
Growth 3yr Historic,0.12663517441860467
Price/Earnings (TTM),59.32428
Price/Sales (TTM),7.1252
Price/Book (MRQ),2.21253
Price/Cash Flow (TTM),28.62161
5yr Low,38.98
5yr High,125.05
5yr Avg Return,0.1948333333333333
EPS Growth 5yr,0.027516600000000002
Revenue Growth 5yr,0.1499428
Dividend Growth 5yr,
Short Int Current Month,12727160.0
Short Int Prev Month,12430951.0
Short Int Pct of Float,0.0226884
Days to Cover,3.12524
Float,562.2868
Shares Outstanding,676.3362
Institutions Holding Shares,1540.0
FCF Growth 5yr,0.18928067424850686
"Price/Earnings (TTM, GAAP)",59.32
"PEG Ratio (TTM, GAAP)",3.44
Gross Profit Margin (TTM),0.48360000000000003
Operating Profit Margin (TTM),0.1533
Net Profit Margin (TTM),0.08689999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0717
EPS Growth (TTM),-0.37820000000000004
Revenue Growth (MRQ),0.2932
Revenue Growth (TTM),0.7494
Return On Equity (TTM),0.0506
Return On Assets (TTM),0.0199
Return On Investment (TTM),0.0256
Revenue Per Employee (TTM),231523.0
Total Debt/Total Capital (MRQ),0.3858
Change in Debt/Total Capital Quarter over Quarter,-0.0047
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.61
theStreet,hold
newConstructs,4
researchTeam,hold
creditSuisse,neutral
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet since,2020-03-24 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
creditSuisse since,2020-01-23 00:00:00
cfra since,2019-05-01 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
