,FISV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",59.32,38.57,Valuation,1.5379828882551205
Price/Sales (TTM),7.13,10.33,Valuation,0.6902226524685382
Price/Book (MRQ),2.21,16.63,Valuation,0.13289236319903788
"PEG Ratio (TTM, GAAP)",3.44,3.85,Valuation,0.8935064935064935
Gross Profit Margin (TTM),0.48360000000000003,0.443,Profitability,1.091647855530474
Operating Profit Margin (TTM),0.1533,0.3113,Profitability,0.4924510118856408
Net Profit Margin (TTM),0.08689999999999999,0.2429,Profitability,0.35776039522437214
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.27890000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.1068,Dividend,
EPS Growth (MRQ),0.0717,-0.166,Gowth rates,-0.43192771084337345
EPS Growth (TTM),-0.37820000000000004,0.1002,Gowth rates,-3.7744510978043917
Revenue Growth (MRQ),0.2932,0.19760000000000003,Gowth rates,1.4838056680161942
Revenue Growth (TTM),0.7494,0.171,Gowth rates,4.382456140350876
Return On Equity (TTM),0.0506,0.4304,Effectiveness,0.11756505576208177
Return On Assets (TTM),0.0199,0.1204,Effectiveness,0.1652823920265781
Return On Investment (TTM),0.0256,0.18920000000000003,Effectiveness,0.13530655391120505
Revenue Per Employee (TTM),231523.0,654648.0,Effectiveness,0.3536602876660434
Total Debt/Total Capital (MRQ),0.3858,0.4744,Financial strength,0.8132377740303541
Change in Debt/Total Capital Quarter over Quarter,-0.0047,0.0015,Financial strength,-3.1333333333333333
Quick Ratio (MRQ),,0.11,Financial strength,
Interest Coverage (MRQ),2.61,22.68,Financial strength,0.11507936507936507
