,JBHT
% Below High,0.1557
% Held by Institutions,0.77
52-Wk Range,['75.29 - 122.29']
Annual Dividend $,1.08
Annual Dividend %,0.0108
Ask,111.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,103.19
Bid Size,100.0
Closing Price,103.25
Day Change $,3.15
Day Change %,0.0315
Day High,103.36
Day Low,100.69
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",4.66
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.395
Last (size),30.0
Last (time),4:00p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.49
Prev Close,100.1
Short Interest,0.0403
Today's Open,100.73
Volume,485111.0
Volume 10-day Avg,746358.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.3194706994328922
Growth 1yr High Est,-0.07818181818181813
Growth 1yr Consensus Est,-0.19882625880735516
Growth 2yr Low Est,0.00554242806133165
Growth 2yr High Est,0.07234893311816393
Growth 2yr Consensus Est,0.03894568058974779
Growth 5yr Low Est,0.13279994966284975
Growth 5yr High Est,0.14993108031569574
Growth 5yr Consensus Est,0.14136551498927274
Growth 5yr Actual/Est,0.15279593754739304
Growth 3yr Historic,0.12625673778362512
Price/Earnings (TTM),21.48816
Price/Sales (TTM),1.12827
Price/Book (MRQ),4.62519
Price/Cash Flow (TTM),10.44315
5yr Low,63.58
5yr High,131.74
5yr Avg Return,0.05315
EPS Growth 5yr,0.0854199
Revenue Growth 5yr,0.08252050000000001
Dividend Growth 5yr,0.053874000000000005
Short Int Current Month,3391714.0
Short Int Prev Month,2719367.0
Short Int Pct of Float,0.040273
Days to Cover,3.34418
Float,84.30098
Shares Outstanding,105.4606
Institutions Holding Shares,592.0
FCF Growth 5yr,0.38212793917990096
"Price/Earnings (TTM, GAAP)",21.49
"PEG Ratio (TTM, GAAP)",3.87
Gross Profit Margin (TTM),0.1788
Operating Profit Margin (TTM),0.077
Net Profit Margin (TTM),0.0536
Annual Dividend Yield,0.0108
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.057300000000000004
EPS Growth (MRQ),-0.2715
EPS Growth (TTM),0.0105
Revenue Growth (MRQ),-0.0692
Revenue Growth (TTM),0.06849999999999999
Return On Equity (TTM),0.2236
Return On Assets (TTM),0.09369999999999999
Return On Investment (TTM),0.114
Revenue Per Employee (TTM),322015.0
Total Debt/Total Capital (MRQ),0.36340000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.86
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2019-04-17 00:00:00
theStreet since,2020-03-19 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-07-11 00:00:00
