,MCO
Price/Earnings (TTM),30.7196
Price/Sales (TTM),9.33149
Price/Book (MRQ),79.80388
Price/Cash Flow (TTM),26.67387
5yr Low,77.76
5yr High,287.25
5yr Avg Return,0.1953666666666667
EPS Growth 5yr,0.10015610000000001
Revenue Growth 5yr,0.0768879
Dividend Growth 5yr,0.1229551
Short Int Current Month,2137979.0
Short Int Prev Month,2306253.0
Short Int Pct of Float,0.011472199999999998
Days to Cover,1.94699
Float,186.4444
Shares Outstanding,187.5
Institutions Holding Shares,1104.0
% Held by Institutions,0.929734
FCF Growth 5yr,0.17815295038056272
