,MCO
% Below High,0.12359999999999999
% Held by Institutions,0.9297
52-Wk Range,['164.19 - 287.25']
Annual Dividend $,2.24
Annual Dividend %,0.009000000000000001
Ask,263.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,240.0
Bid Size,100.0
Closing Price,251.75
Day Change $,4.06
Day Change %,0.016399999999999998
Day High,253.72
Day Low,249.75
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",8.06
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.48600000000000004
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,47.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.72
Prev Close,247.69
Short Interest,0.0115
Today's Open,251.74
Volume,576607.0
Volume 10-day Avg,965341.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.025893958076448675
Growth 1yr High Est,-0.011834319526627168
Growth 1yr Consensus Est,-0.018864138801537922
Growth 2yr Low Est,0.02882517286050984
Growth 2yr High Est,0.11983134323069838
Growth 2yr Consensus Est,0.07432825804560411
Growth 5yr Low Est,0.10143160482089916
Growth 5yr High Est,0.1423633774183181
Growth 5yr Consensus Est,0.12189749111960863
Growth 5yr Actual/Est,0.11664173207281459
Growth 3yr Historic,0.08481228250474276
Price/Earnings (TTM),30.7196
Price/Sales (TTM),9.33149
Price/Book (MRQ),79.80388
Price/Cash Flow (TTM),26.67387
5yr Low,77.76
5yr High,287.25
5yr Avg Return,0.1953666666666667
EPS Growth 5yr,0.10015610000000001
Revenue Growth 5yr,0.0768879
Dividend Growth 5yr,0.1229551
Short Int Current Month,2137979.0
Short Int Prev Month,2306253.0
Short Int Pct of Float,0.011472199999999998
Days to Cover,1.94699
Float,186.4444
Shares Outstanding,187.5
Institutions Holding Shares,1104.0
FCF Growth 5yr,0.17815295038056272
"Price/Earnings (TTM, GAAP)",30.72
"PEG Ratio (TTM, GAAP)",3.99
Gross Profit Margin (TTM),0.7217
Operating Profit Margin (TTM),0.4276
Net Profit Margin (TTM),0.3099
Annual Dividend Yield,0.009000000000000001
Dividend Change %,0.13640000000000002
"Dividend Growth Rate, 3 Years",0.10560000000000001
EPS Growth (MRQ),0.3678
EPS Growth (TTM),0.2504
Revenue Growth (MRQ),0.0464
Revenue Growth (TTM),0.1164
Return On Equity (TTM),4.3593
Return On Assets (TTM),0.1481
Return On Investment (TTM),0.1923
Revenue Per Employee (TTM),452446.0
Total Debt/Total Capital (MRQ),0.8940000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),35.29
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,2
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2018-07-30 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-07-30 00:00:00
theStreet since,2018-05-03 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
