,TMO
% Below High,0.04
% Held by Institutions,0.9086
52-Wk Range,['250.21 - 346.89']
Annual Dividend $,0.88
Annual Dividend %,0.0026
Ask,344.7
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,331.25
Bid Size,100.0
Closing Price,333.01
Day Change $,-6.07
Day Change %,-0.0179
Day High,343.86
Day Low,330.36
Dividend Pay Date,2020-04-16 00:00:00
"EPS (TTM, GAAP)",9.18
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.35100000000000003
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,131.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.26
Prev Close,339.08
Short Interest,0.0089
Today's Open,343.86
Volume,1616078.0
Volume 10-day Avg,1721684.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.07924836601307195
Growth 1yr High Est,0.07431340872374803
Growth 1yr Consensus Est,-0.002467478644661958
Growth 2yr Low Est,0.050437928794706266
Growth 2yr High Est,0.12287099007615965
Growth 2yr Consensus Est,0.08665445943543296
Growth 5yr Low Est,0.10107490431720964
Growth 5yr High Est,0.13360470441659156
Growth 5yr Consensus Est,0.1173398043669006
Growth 5yr Actual/Est,0.11006172208071205
Growth 3yr Historic,0.07059281447339494
Price/Earnings (TTM),36.26169
Price/Sales (TTM),5.12819
Price/Book (MRQ),4.6053
Price/Cash Flow (TTM),21.94605
5yr Low,117.1
5yr High,346.89
5yr Avg Return,0.18518333333333334
EPS Growth 5yr,0.1429795
Revenue Growth 5yr,0.08624330000000001
Dividend Growth 5yr,0.0428362
Short Int Current Month,3504345.0
Short Int Prev Month,3786538.0
Short Int Pct of Float,0.0088928
Days to Cover,2.06337
Float,394.1083
Shares Outstanding,394.9511
Institutions Holding Shares,2163.0
FCF Growth 5yr,0.11394610120080469
"Price/Earnings (TTM, GAAP)",36.26
"PEG Ratio (TTM, GAAP)",3.63
Gross Profit Margin (TTM),0.443
Operating Profit Margin (TTM),0.1786
Net Profit Margin (TTM),0.1441
Annual Dividend Yield,0.0026000000000000003
Dividend Change %,0.12119999999999999
"Dividend Growth Rate, 3 Years",0.0724
EPS Growth (MRQ),-0.2077
EPS Growth (TTM),0.16260000000000002
Revenue Growth (MRQ),-0.0877
Revenue Growth (TTM),0.041299999999999996
Return On Equity (TTM),0.13140000000000002
Return On Assets (TTM),0.0647
Return On Investment (TTM),0.0719
Revenue Per Employee (TTM),341960.0
Total Debt/Total Capital (MRQ),0.4115
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.69
Interest Coverage (MRQ),10.35
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,buy
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-08-30 00:00:00
theStreet since,2009-06-10 00:00:00
ford since,2019-10-18 00:00:00
creditSuisse since,2020-01-22 00:00:00
