,DVN
% Above Low,1.7021000000000002
% Held by Institutions,0.8268000000000001
52-Wk Range,['4.70 - 31.89']
Annual Dividend $,0.44
Annual Dividend %,0.0366
Ask,12.9
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,3.4
Bid,12.72
Bid Size,200.0
Closing Price,12.7
Day Change $,0.69
Day Change %,0.0575
Day High,12.72
Day Low,12.25
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",-3.85
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.883
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,4.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.01
Short Interest,0.0541
Today's Open,12.32
Volume,7419138.0
Volume 10-day Avg,9490931.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3023255813953488
Growth 2yr High Est,2.2
Growth 2yr Consensus Est,0.9488372093023256
Growth 5yr Low Est,-0.3023255813953488
Growth 5yr High Est,2.2
Growth 5yr Consensus Est,0.9488372093023256
Growth 5yr Actual/Est,-0.6489785968504704
Growth 3yr Historic,-0.08786748573935937
Price/Earnings (TTM),
Price/Sales (TTM),0.64928
Price/Book (MRQ),1.17373
Price/Cash Flow (TTM),48.38134
5yr Low,4.7
5yr High,68.1
5yr Avg Return,-0.16671666666666662
EPS Growth 5yr,
Revenue Growth 5yr,-0.2048342
Dividend Growth 5yr,-0.1792932
Short Int Current Month,20033185.0
Short Int Prev Month,14492934.0
Short Int Pct of Float,0.054128800000000005
Days to Cover,1.3707
Float,370.7351
Shares Outstanding,382.7
Institutions Holding Shares,813.0
FCF Growth 5yr,-2.8064886266743163
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8375
Operating Profit Margin (TTM),-0.2164
Net Profit Margin (TTM),-0.201
Annual Dividend Yield,0.0366
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",-0.059000000000000004
EPS Growth (MRQ),-40.2695
EPS Growth (TTM),-4.4652
Revenue Growth (MRQ),0.7051000000000001
Revenue Growth (TTM),-0.12560000000000002
Return On Equity (TTM),-0.24300000000000002
Return On Assets (TTM),-0.0974
Return On Investment (TTM),-0.11130000000000001
Revenue Per Employee (TTM),3932778.0
Total Debt/Total Capital (MRQ),0.5294
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.6
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,sell
creditSuisse,outperform
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-03 00:00:00
cfra since,2019-08-01 00:00:00
theStreet since,2020-02-19 00:00:00
creditSuisse since,2017-12-11 00:00:00
ford since,2020-04-03 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
