,ABMD
% Above Low,0.5719
% Held by Institutions,0.9925
52-Wk Range,"['119.01', ' - ', '285.77']"
Annual Dividend $,
Annual Dividend %,
Ask,194.9
Ask Size,100.0
Ask close,187.67
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,185.0
Bid Size,200.0
Bid close,186.26
Change Since Close,-0.07| |(-0.04%)
Closing Price,187.07
Day Change $,-1.26
Day Change %,-0.0067
Day High,190.28
Day Low,185.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.43
Ex-dividend Date,No dividend
Historical Volatility,0.588
Last (size),1.0
Last (time),3:59p ET 05/08/20
Last Trade,187.0
Market Cap,8.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,188.33
Short Interest,0.0694
Today's Open,188.14
Volume,389822.0
Volume 10-day Avg,851492.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.3123486682808717
Growth 1yr High Est,-0.14465408805031432
Growth 1yr Consensus Est,-0.22850137816559302
Growth 2yr Low Est,0.07974115881731064
Growth 2yr High Est,0.13232981871994082
Growth 2yr Consensus Est,0.10603548876862573
Growth 5yr Low Est,-0.007024412640311432
Growth 5yr High Est,0.06422506721407206
Growth 5yr Consensus Est,0.028600327286880316
Growth 5yr Actual/Est,0.2890215773095447
Growth 3yr Historic,0.23756502601040408
Price/Earnings (TTM),42.5468
Price/Sales (TTM),10.08047
Price/Book (MRQ),7.95566
Price/Cash Flow (TTM),45.66137
5yr Low,59.04
5yr High,459.75
5yr Avg Return,0.27193333333333336
EPS Growth 5yr,0.1080591
Revenue Growth 5yr,0.2956395
Dividend Growth 5yr,
Short Int Current Month,3063056.0
Short Int Prev Month,3043182.0
Short Int Pct of Float,0.0693868
Days to Cover,5.82232
Float,44.09265
Shares Outstanding,45.00869
Institutions Holding Shares,665.0
FCF Growth 5yr,0.4597750555687202
"Price/Earnings (TTM, GAAP)",42.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8201
Operating Profit Margin (TTM),0.2964
Net Profit Margin (TTM),0.2414
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5394
EPS Growth (TTM),-0.21120000000000003
Revenue Growth (MRQ),-0.0674
Revenue Growth (TTM),0.0929
Return On Equity (TTM),0.2028
Return On Assets (TTM),0.1788
Return On Investment (TTM),0.1997
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.14
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,4
theStreet,hold
ford,4
marketEdge opinion,long
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-04-17 00:00:00
theStreet since,2019-08-23 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
