,SWKS
% Below High,0.1343
% Held by Institutions,0.8201999999999999
52-Wk Range,['66.29 - 128.48']
Annual Dividend $,1.76
Annual Dividend %,0.0166
Ask,111.77
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,111.06
Bid Size,200.0
Closing Price,111.22
Day Change $,5.03
Day Change %,0.047400000000000005
Day High,111.29
Day Low,107.01
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",4.66
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.543
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,18.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.89
Prev Close,106.19
Short Interest,0.0248
Today's Open,108.2
Volume,2124065.0
Volume 10-day Avg,2559659.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.10099337748344372
Growth 1yr High Est,-0.008103727714748765
Growth 1yr Consensus Est,-0.054548552599096245
Growth 2yr Low Est,-0.08088342907321361
Growth 2yr High Est,0.12421610999883476
Growth 2yr Consensus Est,0.021666340462810574
Growth 5yr Low Est,-0.04780202016724336
Growth 5yr High Est,0.05353214266831835
Growth 5yr Consensus Est,0.0028650612505374956
Growth 5yr Actual/Est,0.013577931581893493
Growth 3yr Historic,-0.00651237947991154
Price/Earnings (TTM),23.88597
Price/Sales (TTM),5.69781
Price/Book (MRQ),4.4968
Price/Cash Flow (TTM),15.85126
5yr Low,54.5
5yr High,128.48
5yr Avg Return,0.08146666666666669
EPS Growth 5yr,0.1575164
Revenue Growth 5yr,0.0806302
Dividend Growth 5yr,0.4833611
Short Int Current Month,4196867.0
Short Int Prev Month,3923693.0
Short Int Pct of Float,0.024837099999999997
Days to Cover,1.90113
Float,163.5224
Shares Outstanding,166.8359
Institutions Holding Shares,1052.0
FCF Growth 5yr,0.14630148274512633
"Price/Earnings (TTM, GAAP)",23.89
"PEG Ratio (TTM, GAAP)",2.12
Gross Profit Margin (TTM),0.47240000000000004
Operating Profit Margin (TTM),0.2672
Net Profit Margin (TTM),0.24600000000000002
Annual Dividend Yield,0.0158
Dividend Change %,0.1791
"Dividend Growth Rate, 3 Years",0.1423
EPS Growth (MRQ),-0.29350000000000004
EPS Growth (TTM),-0.20940000000000003
Revenue Growth (MRQ),-0.1451
Revenue Growth (TTM),-0.11630000000000001
Return On Equity (TTM),0.1948
Return On Assets (TTM),0.16440000000000002
Return On Investment (TTM),0.1771
Revenue Per Employee (TTM),361844.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.34
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,5
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-05-01 00:00:00
theStreet since,2019-02-28 00:00:00
ford since,2020-03-27 00:00:00
creditSuisse since,
