,REGN
% Below High,0.030299999999999997
% Held by Institutions,0.6844
52-Wk Range,['271.37 - 581.00']
Annual Dividend $,
Annual Dividend %,
Ask,565.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,561.92
Bid Size,100.0
Closing Price,563.4
Day Change $,3.57
Day Change %,0.0064
Day High,567.83
Day Low,553.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",19.9
Ex-dividend Date,No dividend
Historical Volatility,0.385
Last (size),92.0
Last (time),4:15p ET 05/08/20
Market Cap,63.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.31
Prev Close,559.83
Short Interest,0.0246
Today's Open,562.0
Volume,698963.0
Volume 10-day Avg,1121331.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.019730941704035665
Growth 1yr High Est,0.1452865064695008
Growth 1yr Consensus Est,0.08250872408676824
Growth 2yr Low Est,0.06021727384234332
Growth 2yr High Est,0.21515455084611257
Growth 2yr Consensus Est,0.13768591234422795
Growth 5yr Low Est,0.1786075647267471
Growth 5yr High Est,0.26422189358300824
Growth 5yr Consensus Est,0.22141472915487767
Growth 5yr Actual/Est,0.1777971503959429
Growth 3yr Historic,0.11990809896638166
Price/Earnings (TTM),28.30571
Price/Sales (TTM),7.94444
Price/Book (MRQ),5.20964
Price/Cash Flow (TTM),25.41189
5yr Low,271.37
5yr High,605.93
5yr Avg Return,0.05328333333333332
EPS Growth 5yr,0.44004089999999996
Revenue Growth 5yr,0.227682
Dividend Growth 5yr,
Short Int Current Month,2010186.0
Short Int Prev Month,1776048.0
Short Int Pct of Float,0.024579399999999998
Days to Cover,1.98451
Float,84.31249
Shares Outstanding,112.5223
Institutions Holding Shares,1067.0
FCF Growth 5yr,0.2818699064877097
"Price/Earnings (TTM, GAAP)",28.31
"PEG Ratio (TTM, GAAP)",3.37
Gross Profit Margin (TTM),0.8972
Operating Profit Margin (TTM),0.3045
Net Profit Margin (TTM),0.2856
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2168
EPS Growth (TTM),-0.0308
Revenue Growth (MRQ),-0.1573
Revenue Growth (TTM),0.21420000000000003
Return On Equity (TTM),0.2113
Return On Assets (TTM),0.1593
Return On Investment (TTM),0.182
Revenue Per Employee (TTM),985161.0
Total Debt/Total Capital (MRQ),0.055700000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),3.72
Interest Coverage (MRQ),11.13
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,-1
cfra,3
theStreet,buy
creditSuisse,outperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-04 00:00:00
theStreet since,2019-12-03 00:00:00
creditSuisse since,2019-12-13 00:00:00
ford since,2020-05-01 00:00:00
