,AIV
% Above Low,0.5426
% Held by Institutions,1.0056
52-Wk Range,['24.53 - 55.68']
Annual Dividend $,1.64
Annual Dividend %,0.044199999999999996
Ask,45.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,32.5
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,37.84
Day Change $,0.7
Day Change %,0.018799999999999997
Day High,38.35
Day Low,37.18
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.52
Last (size),25100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,5.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.65
Prev Close,37.14
Short Interest,0.0199
Today's Open,37.66
Volume,1134965.0
Volume 10-day Avg,1376084.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9879518072289156
Growth 1yr High Est,-0.8652482269503546
Growth 1yr Consensus Est,-0.9266000170896351
Growth 2yr Low Est,-0.5939759036144578
Growth 2yr High Est,-0.45016797312430007
Growth 2yr Consensus Est,-0.5220719383693789
Growth 5yr Low Est,-0.3959839357429719
Growth 5yr High Est,-0.3001119820828667
Growth 5yr Consensus Est,-0.3480479589129193
Growth 5yr Actual/Est,0.0139101176130359
Growth 3yr Historic,0.22404442774734598
Price/Earnings (TTM),11.64672
Price/Sales (TTM),6.04978
Price/Book (MRQ),3.10538
Price/Cash Flow (TTM),6.27938
5yr Low,24.53
5yr High,55.68
5yr Avg Return,0.009816666666666668
EPS Growth 5yr,0.0824316
Revenue Growth 5yr,-0.01466
Dividend Growth 5yr,0.0795052
Short Int Current Month,2936681.0
Short Int Prev Month,2230671.0
Short Int Pct of Float,0.0199061
Days to Cover,1.52286
Float,147.685
Shares Outstanding,148.9304
Institutions Holding Shares,517.0
FCF Growth 5yr,-8.131347988933014
"Price/Earnings (TTM, GAAP)",11.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6596
Operating Profit Margin (TTM),0.17149999999999999
Net Profit Margin (TTM),0.5556
Annual Dividend Yield,0.0442
Dividend Change %,0.003
"Dividend Growth Rate, 3 Years",0.0492
EPS Growth (MRQ),65.5208
EPS Growth (TTM),-0.265
Revenue Growth (MRQ),0.0009
Revenue Growth (TTM),-0.059800000000000006
Return On Equity (TTM),0.2779
Return On Assets (TTM),0.078
Return On Investment (TTM),0.08410000000000001
Revenue Per Employee (TTM),962415.0
Total Debt/Total Capital (MRQ),0.6966
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.09
newConstructs,4
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-23 00:00:00
theStreet since,2020-03-18 00:00:00
cfra since,2016-04-30 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
