,2015,2016,2017,2018,2019,2020,Report
high,40.83,47.91,46.86,47.66,55.49,55.68,
low,34.71,34.97,41.87,37.97,42.06,24.53,
change,0.028300000000000002,0.1515,-0.0433,0.0021,0.1882,-0.26789999999999997,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,51.0,61.0,77.0,37.0,143.0,,Balance Sheet
"Total Receivables, Net",,13.0,11.0,56.0,21.0,,Balance Sheet
Total Inventory,3.0,0.0,18.0,42.0,0.0,,Balance Sheet
Prepaid Expenses,97.0,37.0,37.0,26.0,13.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,8307.0,7931.0,7928.0,8309.0,8738.0,,Balance Sheet
Accumulated Depreciation,-2778.0,-2421.0,-2522.0,-2585.0,-2718.0,,Balance Sheet
Prop./Plant/Equip. - Net,5529.0,5755.0,5630.0,5723.0,6081.0,,Balance Sheet
"Goodwill, Net",39.0,38.0,38.0,38.0,38.0,,Balance Sheet
Intangibles - Net,6.0,23.0,21.0,24.0,45.0,,Balance Sheet
LT Invt. - Affiliate Comp.,15.0,,,13.0,293.0,,Balance Sheet
LT Investments - Other,66.0,76.0,83.0,84.0,94.0,,Balance Sheet
Long Term Investments,81.0,76.0,83.0,96.0,387.0,,Balance Sheet
Note Rcvble - Long Term,,,,,41.0,,Balance Sheet
Deferred Charges,15.0,89.0,38.0,45.0,25.0,,Balance Sheet
Def. Inc. Tax - LT Asset,26.0,5.0,32.0,67.0,0.0,,Balance Sheet
Restricted Cash - LT,87.0,70.0,66.0,36.0,35.0,,Balance Sheet
Other Assets,184.0,65.0,28.0,0.0,,,Balance Sheet
"Other Assets, Total",184.0,65.0,28.0,0.0,,,Balance Sheet
Total Assets,6119.0,6233.0,6079.0,6190.0,6829.0,,Balance Sheet
Accounts Payable,36.0,,,,,,Balance Sheet
Accrued Expenses,317.0,282.0,220.0,226.0,361.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,250.0,0.0,0.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,3849.0,3885.0,3839.0,4076.0,4506.0,,Balance Sheet
Total Debt,3849.0,3885.0,4089.0,4076.0,4506.0,,Balance Sheet
Minority Interest,229.0,254.0,94.0,166.0,182.0,,Balance Sheet
Discont. Ops. - Lblts,0.0,,,23.0,0.0,,Balance Sheet
Other Liabilities,64.0,18.0,12.0,,,,Balance Sheet
"Other Liabilities, Total",64.0,18.0,12.0,23.0,0.0,,Balance Sheet
Total Liabilities,4496.0,4439.0,4416.0,4491.0,5048.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",159.0,125.0,125.0,125.0,0.0,,Balance Sheet
Common Stock,2.0,2.0,2.0,1.0,1.0,,Balance Sheet
Additional Paid-In Capital,4065.0,4052.0,3900.0,3516.0,3497.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-2597.0,-2385.0,-2367.0,-1948.0,-1722.0,,Balance Sheet
"Other Equity, Total",-6.0,1.0,4.0,5.0,4.0,,Balance Sheet
Total Equity,1622.0,1794.0,1663.0,1699.0,1781.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,6119.0,6233.0,6079.0,6190.0,6829.0,,Balance Sheet
Ttl Comm. Shares Outs.,152.0,152.0,152.0,145.0,149.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Shrs Out-Pref Primary Iss.,0.0,,,,,,Balance Sheet
Shrs Out-Pref Stk Iss. 2,1.0,,,,,,Balance Sheet
Shrs Out-Pref Stk Iss. 3,5.0,5.0,5.0,5.0,0.0,,Balance Sheet
