,AIV
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9879518072289156
Growth 1yr High Est,-0.8652482269503546
Growth 1yr Consensus Est,-0.9266000170896351
Growth 2yr Low Est,-0.5939759036144578
Growth 2yr High Est,-0.45016797312430007
Growth 2yr Consensus Est,-0.5220719383693789
Growth 5yr Low Est,-0.3959839357429719
Growth 5yr High Est,-0.3001119820828667
Growth 5yr Consensus Est,-0.3480479589129193
Growth 5yr Actual/Est,0.0139101176130359
Growth 3yr Historic,0.22404442774734598
