,IRM
Price/Earnings (TTM),23.42311
Price/Sales (TTM),1.6522
Price/Book (MRQ),6.27691
Price/Cash Flow (TTM),7.35454
5yr Low,21.0
5yr High,41.53
5yr Avg Return,-0.04156666666666666
EPS Growth 5yr,-0.09693049999999999
Revenue Growth 5yr,0.0645546
Dividend Growth 5yr,0.1151486
Short Int Current Month,47681700.0
Short Int Prev Month,46654019.0
Short Int Pct of Float,0.168715
Days to Cover,13.14354
Float,283.3398
Shares Outstanding,287.8693
Institutions Holding Shares,770.0
% Held by Institutions,0.797379
FCF Growth 5yr,0.10947688181169643
