,IRM
% Above Low,0.17
% Held by Institutions,0.7974
52-Wk Range,['21.00 - 34.49']
Annual Dividend $,2.47
Annual Dividend %,0.1008
Ask,25.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.7
Bid,24.55
Bid Size,100.0
Closing Price,24.57
Day Change $,0.02
Day Change %,0.0008
Day High,25.13
Day Low,24.37
Dividend Pay Date,2020-07-02 00:00:00
"EPS (TTM, GAAP)",1.05
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.439
Last (size),58.0
Last (time),6:30p ET 05/08/20
Market Cap,7.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.42
Prev Close,24.55
Short Interest,0.16870000000000002
Today's Open,24.74
Volume,3469724.0
Volume 10-day Avg,3889496.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.09900990099009899
Growth 1yr High Est,0.12149532710280364
Growth 1yr Consensus Est,0.011242713056352327
Growth 2yr Low Est,-0.13741703840713743
Growth 2yr High Est,0.4482476635514018
Growth 2yr Consensus Est,0.15541531257213217
Growth 5yr Low Est,-0.09583156208988591
Growth 5yr High Est,0.20230248694550654
Growth 5yr Consensus Est,0.05323546242781031
Growth 5yr Actual/Est,0.0350636179236585
Growth 3yr Historic,-0.03111285266457678
Price/Earnings (TTM),23.42311
Price/Sales (TTM),1.6522
Price/Book (MRQ),6.27691
Price/Cash Flow (TTM),7.35454
5yr Low,21.0
5yr High,41.53
5yr Avg Return,-0.04156666666666666
EPS Growth 5yr,-0.09693049999999999
Revenue Growth 5yr,0.0645546
Dividend Growth 5yr,0.1151486
Short Int Current Month,47681700.0
Short Int Prev Month,46654019.0
Short Int Pct of Float,0.168715
Days to Cover,13.14354
Float,283.3398
Shares Outstanding,287.8693
Institutions Holding Shares,770.0
FCF Growth 5yr,0.10947688181169643
"Price/Earnings (TTM, GAAP)",23.42
"PEG Ratio (TTM, GAAP)",2.93
Gross Profit Margin (TTM),0.5709000000000001
Operating Profit Margin (TTM),0.1777
Net Profit Margin (TTM),0.0707
Annual Dividend Yield,0.1008
Dividend Change %,0.0329
"Dividend Growth Rate, 3 Years",0.0693
EPS Growth (MRQ),0.6953
EPS Growth (TTM),-0.1576
Revenue Growth (MRQ),-0.0101
Revenue Growth (TTM),0.0095
Return On Equity (TTM),0.2093
Return On Assets (TTM),0.0222
Return On Investment (TTM),0.025099999999999997
Revenue Per Employee (TTM),159905.0
Total Debt/Total Capital (MRQ),0.8872
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.94
theStreet,hold
newConstructs,3
researchTeam,reduce
creditSuisse,underperform
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,0
theStreet since,2020-03-23 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
creditSuisse since,2018-08-09 00:00:00
cfra since,2015-03-02 00:00:00
ford since,2019-12-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
