,XYL
% Above Low,0.1534
% Held by Institutions,0.9087999999999999
52-Wk Range,['54.62 - 89.34']
Annual Dividend $,1.04
Annual Dividend %,0.016399999999999998
Ask,65.17
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,60.0
Bid Size,100.0
Closing Price,63.0
Day Change $,-0.55
Day Change %,-0.0087
Day High,65.43
Day Low,62.78
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2020-02-26 00:00:00
Ex-dividend Date,02/26/20
Historical Volatility,0.42600000000000005
Last (size),240.0
Last (time),6:30p ET 05/08/20
Market Cap,11.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",31.71
Prev Close,63.55
Short Interest,0.0223
Today's Open,64.78
Volume,1320235.0
Volume 10-day Avg,1445568.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.6466666666666667
Growth 1yr High Est,0.04290429042904309
Growth 1yr Consensus Est,-0.3018811881188118
Growth 2yr Low Est,0.06817610062893065
Growth 2yr High Est,0.09898379078414177
Growth 2yr Consensus Est,0.08357994570653621
Growth 5yr Low Est,0.10873086941888843
Growth 5yr High Est,0.1115286674624672
Growth 5yr Consensus Est,0.11012976844067782
Growth 5yr Actual/Est,0.08130604173236622
Growth 3yr Historic,0.06215277777777778
Price/Earnings (TTM),31.71088
Price/Sales (TTM),2.20733
Price/Book (MRQ),4.03048
Price/Cash Flow (TTM),18.37061
5yr Low,29.9
5yr High,89.34
5yr Avg Return,0.11794999999999996
EPS Growth 5yr,0.038798
Revenue Growth 5yr,0.060343999999999995
Dividend Growth 5yr,0.13396660000000002
Short Int Current Month,3983550.0
Short Int Prev Month,4182385.0
Short Int Pct of Float,0.0223458
Days to Cover,2.95424
Float,178.1292
Shares Outstanding,179.9153
Institutions Holding Shares,997.0
FCF Growth 5yr,0.17822191010551583
"Price/Earnings (TTM, GAAP)",31.71
"PEG Ratio (TTM, GAAP)",2.8
Gross Profit Margin (TTM),0.3858
Operating Profit Margin (TTM),0.0853
Net Profit Margin (TTM),0.0701
Annual Dividend Yield,0.0165
Dividend Change %,0.1429
"Dividend Growth Rate, 3 Years",0.15710000000000002
EPS Growth (MRQ),-0.6781999999999999
EPS Growth (TTM),-0.354
Revenue Growth (MRQ),-0.1809
Revenue Growth (TTM),-0.0176
Return On Equity (TTM),0.12840000000000001
Return On Assets (TTM),0.0478
Return On Investment (TTM),0.0599
Revenue Per Employee (TTM),315031.0
Total Debt/Total Capital (MRQ),0.46880000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),3.44
newConstructs,2
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
cfra,3
theStreet,hold
creditSuisse,underperform
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-11-01 00:00:00
theStreet since,2020-05-06 00:00:00
creditSuisse since,2020-03-10 00:00:00
ford since,2020-04-17 00:00:00
