,BLK
Price/Earnings (TTM),18.44167
Price/Sales (TTM),5.17601
Price/Book (MRQ),
Price/Cash Flow (TTM),17.39696
5yr Low,275.0
5yr High,594.52
5yr Avg Return,0.0727
EPS Growth 5yr,0.0810748
Revenue Growth 5yr,0.055823
Dividend Growth 5yr,0.1132465
Short Int Current Month,1795877.0
Short Int Prev Month,1452277.0
Short Int Pct of Float,0.012057
Days to Cover,2.4278
Float,150.1929
Shares Outstanding,155.0858
Institutions Holding Shares,1729.0
% Held by Institutions,0.817067
FCF Growth 5yr,0.04168044211355806
