,BLK
% Below High,0.1353
% Held by Institutions,0.8170999999999999
52-Wk Range,['323.98 - 576.81']
Annual Dividend $,14.52
Annual Dividend %,0.0292
Ask,515.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,497.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,498.78
Day Change $,1.39
Day Change %,0.0028000000000000004
Day High,506.0
Day Low,496.62
Dividend Pay Date,2020-03-23 00:00:00
"EPS (TTM, GAAP)",26.97
Ex-dividend,2020-03-04 00:00:00
Ex-dividend Date,03/04/20
Historical Volatility,0.455
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,498.78
Market Cap,77.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.44
Prev Close,497.39
Short Interest,0.0121
Today's Open,505.53
Volume,450482.0
Volume 10-day Avg,563348.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.13379511483776885
Growth 1yr High Est,-0.007449450159631055
Growth 1yr Consensus Est,-0.07062228249869995
Growth 2yr Low Est,-0.018286446307773374
Growth 2yr High Est,0.06185783389087779
Growth 2yr Consensus Est,0.021785693791552208
Growth 5yr Low Est,0.04630216456392658
Growth 5yr High Est,0.09166743847804357
Growth 5yr Consensus Est,0.06898480152098507
Growth 5yr Actual/Est,0.07059896135135679
Growth 3yr Historic,0.062287387162390795
Price/Earnings (TTM),18.44167
Price/Sales (TTM),5.17601
Price/Book (MRQ),
Price/Cash Flow (TTM),17.39696
5yr Low,275.0
5yr High,594.52
5yr Avg Return,0.0727
EPS Growth 5yr,0.0810748
Revenue Growth 5yr,0.055823
Dividend Growth 5yr,0.1132465
Short Int Current Month,1795877.0
Short Int Prev Month,1452277.0
Short Int Pct of Float,0.012057
Days to Cover,2.4278
Float,150.1929
Shares Outstanding,155.0858
Institutions Holding Shares,1729.0
FCF Growth 5yr,0.04168044211355806
"Price/Earnings (TTM, GAAP)",18.44
"PEG Ratio (TTM, GAAP)",7.7
Gross Profit Margin (TTM),0.8162
Operating Profit Margin (TTM),0.3356
Net Profit Margin (TTM),0.2746
Annual Dividend Yield,0.0292
Dividend Change %,0.09820000000000001
"Dividend Growth Rate, 3 Years",0.1295
EPS Growth (MRQ),-0.3755
EPS Growth (TTM),0.0176
Revenue Growth (MRQ),-0.0671
Revenue Growth (TTM),0.0675
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),919938.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.63
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2011-12-06 00:00:00
cfra since,2019-10-15 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2015-09-10 00:00:00
