,FTNT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",63.92,50.54,Valuation,1.2647407993668383
Price/Sales (TTM),9.64,13.35,Valuation,0.7220973782771536
Price/Book (MRQ),40.97,15.07,Valuation,2.718646317186463
"PEG Ratio (TTM, GAAP)",3.42,0.93,Valuation,3.6774193548387095
Gross Profit Margin (TTM),0.7693000000000001,0.7291,Profitability,1.0551364696200798
Operating Profit Margin (TTM),0.1776,0.1791,Profitability,0.9916247906197655
Net Profit Margin (TTM),0.1635,0.1446,Profitability,1.1307053941908713
Annual Dividend Yield,,0.0068000000000000005,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0526,Dividend,
EPS Growth (MRQ),-0.0747,0.3473,Gowth rates,-0.21508782032824647
EPS Growth (TTM),-0.0301,0.5418000000000001,Gowth rates,-0.055555555555555546
Revenue Growth (MRQ),-0.061,0.1888,Gowth rates,-0.3230932203389831
Revenue Growth (TTM),0.2057,0.187,Gowth rates,1.0999999999999999
Return On Equity (TTM),0.4636,0.193,Effectiveness,2.4020725388601036
Return On Assets (TTM),0.1153,0.0956,Effectiveness,1.2060669456066946
Return On Investment (TTM),0.2045,0.10890000000000001,Effectiveness,1.877869605142332
Revenue Per Employee (TTM),319190.0,640191.0,Effectiveness,0.4985855783664563
Total Debt/Total Capital (MRQ),0.0,0.3724,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0001,Financial strength,
Quick Ratio (MRQ),1.25,1.41,Financial strength,0.8865248226950355
Interest Coverage (MRQ),,43.75,Financial strength,
