,FCX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,40.19,Valuation,
Price/Sales (TTM),,1164.2,Valuation,
Price/Book (MRQ),1.47,2.07,Valuation,0.7101449275362319
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),,0.336,Profitability,
Operating Profit Margin (TTM),,-1.3483,Profitability,
Net Profit Margin (TTM),,-1.6609,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,0.0,0.0898,Dividend,0.0
"Dividend Growth Rate, 3 Years",,0.4294,Dividend,
EPS Growth (MRQ),,0.8359000000000001,Gowth rates,
EPS Growth (TTM),,4.2903,Gowth rates,
Revenue Growth (MRQ),,0.1429,Gowth rates,
Revenue Growth (TTM),,0.3356,Gowth rates,
Return On Equity (TTM),,0.1378,Effectiveness,
Return On Assets (TTM),,0.152,Effectiveness,
Return On Investment (TTM),,0.0734,Effectiveness,
Revenue Per Employee (TTM),,1778195.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.3726,0.3177,Financial strength,1.1728045325779037
Change in Debt/Total Capital Quarter over Quarter,-0.0009,-0.0008,Financial strength,1.125
Quick Ratio (MRQ),1.11,2.2,Financial strength,0.5045454545454545
Interest Coverage (MRQ),,5.96,Financial strength,
