,FCX
% Above Low,0.9108
% Held by Institutions,0.7298
52-Wk Range,['4.82 - 13.64']
Annual Dividend $,
Annual Dividend %,
Ask,9.3
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,2.3
Bid,9.19
Bid Size,100.0
Closing Price,9.21
Day Change $,0.24
Day Change %,0.0268
Day High,9.29
Day Low,9.11
Dividend Pay Date,02/03/20
"EPS (TTM, GAAP)",
Ex-dividend Date,01/14/20
Historical Volatility,0.664
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.97
Short Interest,0.0394
Today's Open,9.17
Volume,20171063.0
Volume 10-day Avg,21294235.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,2.4999999999999996
Growth 1yr High Est,1.5
Growth 1yr Consensus Est,1.9999999999999998
Growth 2yr Low Est,0.3357142857142855
Growth 2yr High Est,3.3833333333333333
Growth 2yr Consensus Est,1.8595238095238094
Growth 5yr Low Est,-0.10714285714285726
Growth 5yr High Est,1.4618008948545862
Growth 5yr Consensus Est,0.6773290188558645
Growth 5yr Actual/Est,-4.2719242015294645
Growth 3yr Historic,-0.17192420152946467
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.47082
Price/Cash Flow (TTM),
5yr Low,3.52
5yr High,23.6
5yr Avg Return,0.03918333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0635724
Dividend Growth 5yr,
Short Int Current Month,56768191.0
Short Int Prev Month,52421866.0
Short Int Pct of Float,0.0393945
Days to Cover,2.06871
Float,1441.728
Shares Outstanding,1451.961
Institutions Holding Shares,937.0
FCF Growth 5yr,-0.1616855243604255
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.3726
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
theStreet,sell
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-27 00:00:00
theStreet since,2020-04-27 00:00:00
cfra since,2019-10-24 00:00:00
ford since,2019-08-16 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-04-07 00:00:00
