,ADP
% Below High,0.19920000000000002
% Held by Institutions,0.7662
52-Wk Range,['103.11 - 182.32']
Annual Dividend $,3.64
Annual Dividend %,0.0246
Ask,148.99
Ask Size,300.0
Ask close,146.25
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,145.62
Bid Size,100.0
Bid close,145.86
Change Since Close,0.24| |(0.16%)
Closing Price,146.0
Day Change $,-1.77
Day Change %,-0.012
Day High,149.78
Day Low,144.72
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",5.83
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.40700000000000003
Last (size),30.0
Last (time),4:00p ET 05/08/20
Last Trade,146.24
Market Cap,62.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.33
Prev Close,147.77
Short Interest,0.0129
Today's Open,149.57
Volume,1738426.0
Volume 10-day Avg,2173013.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.06168224299065428
Growth 1yr High Est,0.06739526411657559
Growth 1yr Consensus Est,0.06453875355361494
Growth 2yr Low Est,-0.008771554561010808
Growth 2yr High Est,0.08830514059071093
Growth 2yr Consensus Est,0.03976679301485006
Growth 5yr Low Est,0.10024897654493856
Growth 5yr High Est,0.1496698116746658
Growth 5yr Consensus Est,0.12495939410980218
Growth 5yr Actual/Est,0.11954504624624421
Growth 3yr Historic,0.1071373097235166
Price/Earnings (TTM),25.33492
Price/Sales (TTM),4.31682
Price/Book (MRQ),11.56711
Price/Cash Flow (TTM),21.20318
5yr Low,64.29
5yr High,182.32
5yr Avg Return,0.109
EPS Growth 5yr,0.1529694
Revenue Growth 5yr,0.0674838
Dividend Growth 5yr,0.1009513
Short Int Current Month,5564475.0
Short Int Prev Month,5132026.0
Short Int Pct of Float,0.012914799999999999
Days to Cover,2.29178
Float,425.502
Shares Outstanding,429.7744
Institutions Holding Shares,2023.0
FCF Growth 5yr,0.05809681952928107
"Price/Earnings (TTM, GAAP)",25.33
"PEG Ratio (TTM, GAAP)",2.08
Gross Profit Margin (TTM),0.4291
Operating Profit Margin (TTM),0.2189
Net Profit Margin (TTM),0.172
Annual Dividend Yield,0.0246
Dividend Change %,0.23329999999999998
"Dividend Growth Rate, 3 Years",0.13210000000000002
EPS Growth (MRQ),0.26420000000000005
EPS Growth (TTM),0.33520000000000005
Revenue Growth (MRQ),0.10310000000000001
Revenue Growth (TTM),0.05480000000000001
Return On Equity (TTM),0.47130000000000005
Return On Assets (TTM),0.0553
Return On Investment (TTM),0.2853
Revenue Per Employee (TTM),253650.0
Total Debt/Total Capital (MRQ),0.2675
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),192.48
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
theStreet since,2009-01-22 00:00:00
cfra since,2017-08-08 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-08-09 00:00:00
