,CDW
% Above Low,0.4789
% Held by Institutions,0.9216
52-Wk Range,['73.39 - 146.09']
Annual Dividend $,1.52
Annual Dividend %,0.014199999999999999
Ask,110.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,102.79
Bid Size,100.0
Closing Price,108.54
Day Change $,1.87
Day Change %,0.0175
Day High,109.83
Day Low,107.54
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",5.12
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.462
Last (size),1300.0
Last (time),3:59p ET 05/08/20
Market Cap,15.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.83
Prev Close,106.67
Short Interest,0.016200000000000003
Today's Open,108.05
Volume,583978.0
Volume 10-day Avg,920232.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.15242881072026804
Growth 1yr High Est,-0.02796052631578949
Growth 1yr Consensus Est,-0.09019466851802876
Growth 2yr Low Est,-0.005068160300845448
Growth 2yr High Est,0.05285560824650454
Growth 2yr Consensus Est,0.023893723972829545
Growth 5yr Low Est,0.12503983471642566
Growth 5yr High Est,0.15223051595348566
Growth 5yr Consensus Est,0.13863517533495567
Growth 5yr Actual/Est,0.14168651726290069
Growth 3yr Historic,0.13243834938463012
Price/Earnings (TTM),20.83118
Price/Sales (TTM),0.82221
Price/Book (MRQ),17.06097
Price/Cash Flow (TTM),14.51345
5yr Low,30.4
5yr High,146.09
5yr Avg Return,0.24003333333333335
EPS Growth 5yr,0.2860144
Revenue Growth 5yr,0.08351990000000001
Dividend Growth 5yr,0.4534871
Short Int Current Month,2292731.0
Short Int Prev Month,2452033.0
Short Int Pct of Float,0.016245799999999998
Days to Cover,2.15226
Float,141.4166
Shares Outstanding,142.3181
Institutions Holding Shares,910.0
FCF Growth 5yr,0.4608371801698826
"Price/Earnings (TTM, GAAP)",20.83
"PEG Ratio (TTM, GAAP)",2.29
Gross Profit Margin (TTM),0.16920000000000002
Operating Profit Margin (TTM),0.06230000000000001
Net Profit Margin (TTM),0.04070000000000001
Annual Dividend Yield,0.014199999999999999
Dividend Change %,0.3676
"Dividend Growth Rate, 3 Years",0.3789
EPS Growth (MRQ),-0.0848
EPS Growth (TTM),0.16940000000000002
Revenue Growth (MRQ),-0.0326
Revenue Growth (TTM),0.1128
Return On Equity (TTM),0.8275
Return On Assets (TTM),0.09460000000000002
Return On Investment (TTM),0.1663
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.7959999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),6.61
newConstructs,2
researchTeam,reduce
theStreet,buy
cfra,3
creditSuisse,outperform
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2016-02-11 00:00:00
cfra since,2018-10-31 00:00:00
creditSuisse since,2019-04-11 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
