,GOOGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.98,30.91,Valuation,0.9052086703332255
Price/Sales (TTM),5.61,30.04,Valuation,0.18675099866844208
Price/Book (MRQ),4.6,6.16,Valuation,0.7467532467532467
"PEG Ratio (TTM, GAAP)",5.83,3.44,Valuation,1.6947674418604652
Gross Profit Margin (TTM),0.5508,0.6563,Profitability,0.8392503428310223
Operating Profit Margin (TTM),0.2136,0.23070000000000002,Profitability,0.9258777633289987
Net Profit Margin (TTM),0.2071,0.20170000000000002,Profitability,1.0267724343083786
Annual Dividend Yield,,,Dividend,
Dividend Change %,,,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.3971,0.2281,Gowth rates,-1.7409031126698817
EPS Growth (TTM),0.2275,-0.0898,Gowth rates,-2.5334075723830733
Revenue Growth (MRQ),-0.1067,0.1634,Gowth rates,-0.652998776009792
Revenue Growth (TTM),0.17370000000000002,0.20920000000000002,Gowth rates,0.8303059273422562
Return On Equity (TTM),0.1783,0.19460000000000002,Effectiveness,0.9162384378211714
Return On Assets (TTM),0.1331,0.1057,Effectiveness,1.2592242194891201
Return On Investment (TTM),0.15560000000000002,0.1479,Effectiveness,1.0520622041920218
Revenue Per Employee (TTM),1401837.0,1422229.0,Effectiveness,0.9856619433298013
Total Debt/Total Capital (MRQ),0.024,0.0507,Financial strength,0.47337278106508873
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.0007000000000000001,Financial strength,1.5714285714285714
Quick Ratio (MRQ),3.64,2.05,Financial strength,1.7756097560975612
Interest Coverage (MRQ),,-0.84,Financial strength,
