,GOOGL
% Below High,0.0956
% Held by Institutions,0.7957
52-Wk Range,"['1,008.87 - 1,530.74']"
Annual Dividend $,
Annual Dividend %,
Ask,1394.99
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,1384.34
Bid Size,200.0
Closing Price,1384.34
Day Change $,15.06
Day Change %,0.011000000000000001
Day High,1396.64
Day Low,1372.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",48.94
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,945.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.98
Prev Close,1369.28
Short Interest,0.0131
Today's Open,1381.82
Volume,1666487.0
Volume 10-day Avg,2461847.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,42.0
Growth 1yr Low Est,-0.15735371639430673
Growth 1yr High Est,0.1205560619872379
Growth 1yr Consensus Est,-0.018398827203534418
Growth 2yr Low Est,0.07693778052665029
Growth 2yr High Est,0.23711349977539642
Growth 2yr Consensus Est,0.15702564015102335
Growth 5yr Low Est,0.10548092234888659
Growth 5yr High Est,0.18560877300908551
Growth 5yr Consensus Est,0.14554484767898607
Growth 5yr Actual/Est,0.16380531735439682
Growth 3yr Historic,0.1225352918174169
Price/Earnings (TTM),27.97988
Price/Sales (TTM),5.61446
Price/Book (MRQ),4.59861
Price/Cash Flow (TTM),20.0523
5yr Low,535.0
5yr High,1530.74
5yr Avg Return,0.18278333333333333
EPS Growth 5yr,0.1992015
Revenue Growth 5yr,0.1965096
Dividend Growth 5yr,
Short Int Current Month,3920310.0
Short Int Prev Month,4040716.0
Short Int Pct of Float,0.0130915
Days to Cover,1.61389
Float,616.1257
Shares Outstanding,682.6202
Institutions Holding Shares,3687.0
FCF Growth 5yr,0.15818432914939715
"Price/Earnings (TTM, GAAP)",27.98
"PEG Ratio (TTM, GAAP)",5.83
Gross Profit Margin (TTM),0.5508
Operating Profit Margin (TTM),0.2136
Net Profit Margin (TTM),0.2071
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3971
EPS Growth (TTM),0.2275
Revenue Growth (MRQ),-0.1067
Revenue Growth (TTM),0.17370000000000002
Return On Equity (TTM),0.1783
Return On Assets (TTM),0.1331
Return On Investment (TTM),0.15560000000000002
Revenue Per Employee (TTM),1401837.0
Total Debt/Total Capital (MRQ),0.024
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),3.64
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2018-04-24 00:00:00
cfra since,2019-12-14 00:00:00
ford since,2019-10-11 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2008-10-27 00:00:00
