,MXIM
% Below High,0.1766
% Held by Institutions,0.9197
52-Wk Range,['41.93 - 65.73']
Annual Dividend $,1.92
Annual Dividend %,0.0363
Ask,54.8
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,53.26
Bid Size,200.0
Closing Price,54.12
Day Change $,1.27
Day Change %,0.024
Day High,54.16
Day Low,52.9
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2020-05-27 00:00:00
Ex-dividend Date,05/27/20
Historical Volatility,0.429
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,14.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.79
Prev Close,52.85
Short Interest,0.022400000000000003
Today's Open,53.08
Volume,1799103.0
Volume 10-day Avg,3161080.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.1522633744855968
Growth 1yr High Est,-0.08571428571428574
Growth 1yr Consensus Est,-0.11898883009994127
Growth 2yr Low Est,-0.12710256102920614
Growth 2yr High Est,0.01964285714285713
Growth 2yr Consensus Est,-0.053729851943174506
Growth 5yr Low Est,-0.013559422511020575
Growth 5yr High Est,0.05391130608992212
Growth 5yr Consensus Est,0.02017594178945077
Growth 5yr Actual/Est,0.01687825979565097
Growth 3yr Historic,0.04374521339553017
Price/Earnings (TTM),17.79401
Price/Sales (TTM),6.39759
Price/Book (MRQ),8.72914
Price/Cash Flow (TTM),15.43945
5yr Low,29.47
5yr High,74.94
5yr Avg Return,0.1054
EPS Growth 5yr,0.1995072
Revenue Growth 5yr,-0.0116244
Dividend Growth 5yr,0.12087429999999999
Short Int Current Month,5969910.0
Short Int Prev Month,5708021.0
Short Int Pct of Float,0.0223609
Days to Cover,2.30251
Float,264.3491
Shares Outstanding,266.6254
Institutions Holding Shares,794.0
FCF Growth 5yr,0.05168929596892395
"Price/Earnings (TTM, GAAP)",18.22
"PEG Ratio (TTM, GAAP)",3.56
Gross Profit Margin (TTM),0.6476999999999999
Operating Profit Margin (TTM),0.30960000000000004
Net Profit Margin (TTM),0.37
Annual Dividend Yield,0.0355
Dividend Change %,0.1795
"Dividend Growth Rate, 3 Years",0.1531
EPS Growth (MRQ),0.11050000000000001
EPS Growth (TTM),0.23510000000000003
Revenue Growth (MRQ),0.0197
Revenue Growth (TTM),-0.0788
Return On Equity (TTM),0.4965
Return On Assets (TTM),0.2217
Return On Investment (TTM),0.2482
Revenue Per Employee (TTM),308873.0
Total Debt/Total Capital (MRQ),0.38020000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),5.39
Interest Coverage (MRQ),19.77
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2016-03-15 00:00:00
cfra since,2018-04-20 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,2013-01-14 00:00:00
