,TWTR
% Above Low,0.4965
% Held by Institutions,0.6836
52-Wk Range,['20.00 - 45.86']
Annual Dividend $,
Annual Dividend %,
Ask,29.96
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,0.8
Bid,29.85
Bid Size,700.0
Closing Price,29.93
Day Change $,1.16
Day Change %,0.0403
Day High,29.97
Day Low,28.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.61
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,23.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.57
Prev Close,28.77
Short Interest,0.058499999999999996
Today's Open,29.09
Volume,19208844.0
Volume 10-day Avg,25140769.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.9506726457399103
Growth 1yr High Est,-0.7408906882591093
Growth 1yr Consensus Est,-0.8457816669995097
Growth 2yr Low Est,-0.5207908683245006
Growth 2yr High Est,0.0045546558704454565
Growth 2yr Consensus Est,-0.2581181062270276
Growth 5yr Low Est,-0.5207908683245006
Growth 5yr High Est,0.0045546558704454565
Growth 5yr Consensus Est,-0.2581181062270275
Growth 5yr Actual/Est,0.6572839448354608
Growth 3yr Historic,0.6775898520084567
Price/Earnings (TTM),18.56562
Price/Sales (TTM),6.74811
Price/Book (MRQ),2.66816
Price/Cash Flow (TTM),13.02632
5yr Low,13.73
5yr High,47.79
5yr Avg Return,0.01038333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1978066
Dividend Growth 5yr,
Short Int Current Month,44132613.0
Short Int Prev Month,36538770.0
Short Int Pct of Float,0.0584982
Days to Cover,2.24802
Float,756.4954
Shares Outstanding,784.6292
Institutions Holding Shares,1005.0
FCF Growth 5yr,2.902105522871259
"Price/Earnings (TTM, GAAP)",18.57
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6675
Operating Profit Margin (TTM),0.0735
Net Profit Margin (TTM),0.3639
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0714000000000001
EPS Growth (TTM),-0.0632
Revenue Growth (MRQ),-0.19820000000000002
Revenue Growth (TTM),0.0998
Return On Equity (TTM),0.1595
Return On Assets (TTM),0.1026
Return On Investment (TTM),0.1133
Revenue Per Employee (TTM),710220.0
Total Debt/Total Capital (MRQ),0.2795
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-19.95
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,4
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-04 00:00:00
theStreet since,2020-05-01 00:00:00
ford since,2018-06-22 00:00:00
creditSuisse since,
