,RL
% Above Low,0.2049
% Held by Institutions,1.0044
52-Wk Range,['59.82 - 128.29']
Annual Dividend $,2.75
Annual Dividend %,0.0392
Ask,73.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,70.0
Bid Size,100.0
Closing Price,72.08
Day Change $,1.85
Day Change %,0.0263
Day High,72.73
Day Low,71.04
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",8.95
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.524
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,5.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.05
Prev Close,70.23
Short Interest,0.10980000000000001
Today's Open,72.06
Volume,2063788.0
Volume 10-day Avg,1495134.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.10656934306569332
Growth 1yr High Est,0.10422535211267614
Growth 1yr Consensus Est,-0.0011719954765085916
Growth 2yr Low Est,-0.51161800486618
Growth 2yr High Est,0.10695961483184824
Growth 2yr Consensus Est,-0.2023291950171659
Growth 5yr Low Est,-0.1966192791129319
Growth 5yr High Est,0.11461061676949613
Growth 5yr Consensus Est,-0.04100433117171788
Growth 5yr Actual/Est,-0.007437652337930201
Growth 3yr Historic,0.06210337686930206
Price/Earnings (TTM),8.05204
Price/Sales (TTM),0.83165
Price/Book (MRQ),1.70457
Price/Cash Flow (TTM),5.6589
5yr Low,59.82
5yr High,147.79
5yr Avg Return,-0.07438333333333333
EPS Growth 5yr,-0.07825929999999999
Revenue Growth 5yr,-0.0325781
Dividend Growth 5yr,0.0755632
Short Int Current Month,5308467.0
Short Int Prev Month,4374055.0
Short Int Pct of Float,0.10976409999999999
Days to Cover,3.62791
Float,48.36341
Shares Outstanding,73.74309
Institutions Holding Shares,608.0
FCF Growth 5yr,0.04877998671106139
"Price/Earnings (TTM, GAAP)",8.05
"PEG Ratio (TTM, GAAP)",4.73
Gross Profit Margin (TTM),0.6204
Operating Profit Margin (TTM),0.0984
Net Profit Margin (TTM),0.10830000000000001
Annual Dividend Yield,0.0382
Dividend Change %,0.1875
"Dividend Growth Rate, 3 Years",0.059000000000000004
EPS Growth (MRQ),0.8855
EPS Growth (TTM),0.7095999999999999
Revenue Growth (MRQ),0.026099999999999998
Revenue Growth (TTM),0.0087
Return On Equity (TTM),0.2141
Return On Assets (TTM),0.1023
Return On Investment (TTM),0.132
Revenue Per Employee (TTM),491646.0
Total Debt/Total Capital (MRQ),0.2233
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-01 00:00:00
cfra since,2020-02-05 00:00:00
ford since,2020-03-06 00:00:00
creditSuisse since,2018-05-18 00:00:00
