,ABBV
Price/Earnings (TTM),15.94919
Price/Sales (TTM),3.73852
Price/Book (MRQ),
Price/Cash Flow (TTM),12.56344
5yr Low,45.45
5yr High,125.86
5yr Avg Return,0.06434999999999999
EPS Growth 5yr,0.36827489999999996
Revenue Growth 5yr,0.1075619
Dividend Growth 5yr,0.208557
Short Int Current Month,84732539.0
Short Int Prev Month,84640109.0
Short Int Pct of Float,0.0574524
Days to Cover,9.11522
Float,1475.023
Shares Outstanding,1476.675
Institutions Holding Shares,2741.0
% Held by Institutions,0.732886
FCF Growth 5yr,0.14579435756328019
