,ABBV
% Below High,0.142
% Held by Institutions,0.7329000000000001
52-Wk Range,['62.55 - 97.86']
Annual Dividend $,4.72
Annual Dividend %,0.055999999999999994
Ask,84.35
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,0.8
Bid,84.21
Bid Size,1200.0
Change Since Close,0.34| |(0.40%)
Closing Price,83.96
Day Change $,-0.26
Day Change %,-0.0031
Day High,84.66
Day Low,82.45
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",5.28
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.376
Last (size),30.0
Last (time),6:30p ET 05/08/20
Last Trade,84.3
Market Cap,124.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",15.95
Prev Close,84.22
Short Interest,0.0575
Today's Open,84.42
Volume,20189627.0
Volume 10-day Avg,10753911.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.0730337078651686
Growth 1yr High Est,0.10738255033557054
Growth 1yr Consensus Est,0.09020812910036957
Growth 2yr Low Est,0.06269486440378846
Growth 2yr High Est,0.1062165276930378
Growth 2yr Consensus Est,0.08445569604841313
Growth 5yr Low Est,0.1699523654906916
Growth 5yr High Est,0.18704071734791328
Growth 5yr Consensus Est,0.17849654141930243
Growth 5yr Actual/Est,0.17548822690789384
Growth 3yr Historic,0.13567872945638432
Price/Earnings (TTM),15.94919
Price/Sales (TTM),3.73852
Price/Book (MRQ),
Price/Cash Flow (TTM),12.56344
5yr Low,45.45
5yr High,125.86
5yr Avg Return,0.06434999999999999
EPS Growth 5yr,0.36827489999999996
Revenue Growth 5yr,0.1075619
Dividend Growth 5yr,0.208557
Short Int Current Month,84732539.0
Short Int Prev Month,84640109.0
Short Int Pct of Float,0.0574524
Days to Cover,9.11522
Float,1475.023
Shares Outstanding,1476.675
Institutions Holding Shares,2741.0
FCF Growth 5yr,0.14579435756328019
"Price/Earnings (TTM, GAAP)",15.95
"PEG Ratio (TTM, GAAP)",3.99
Gross Profit Margin (TTM),0.7714
Operating Profit Margin (TTM),0.39030000000000004
Net Profit Margin (TTM),0.23690000000000003
Annual Dividend Yield,0.055999999999999994
Dividend Change %,0.19219999999999998
"Dividend Growth Rate, 3 Years",0.2336
EPS Growth (MRQ),0.48369999999999996
EPS Growth (TTM),0.4569
Revenue Growth (MRQ),0.0265
Revenue Growth (TTM),0.015700000000000002
Return On Equity (TTM),
Return On Assets (TTM),0.10619999999999999
Return On Investment (TTM),0.1363
Revenue Per Employee (TTM),1108867.0
Total Debt/Total Capital (MRQ),1.1396
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),3.06
Interest Coverage (MRQ),7.6
newConstructs,1
researchTeam,hold
theStreet,hold
cfra,3
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2018-09-19 00:00:00
theStreet since,2019-08-27 00:00:00
cfra since,2018-09-19 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
