,ABBV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.95,379.47,Valuation,0.04203230821935858
Price/Sales (TTM),3.74,324.63,Valuation,0.011520808304839356
Price/Book (MRQ),,8.12,Valuation,
"PEG Ratio (TTM, GAAP)",3.99,3.53,Valuation,1.1303116147308783
Gross Profit Margin (TTM),0.7714,0.6734,Profitability,1.1455301455301454
Operating Profit Margin (TTM),0.39030000000000004,-3.0178,Profitability,-0.1293326264165949
Net Profit Margin (TTM),0.23690000000000003,-2.9457999999999998,Profitability,-0.08041958041958043
Annual Dividend Yield,0.055999999999999994,0.0141,Dividend,3.9716312056737584
Dividend Change %,0.19219999999999998,0.0477,Dividend,4.029350104821803
"Dividend Growth Rate, 3 Years",0.2336,0.0579,Dividend,4.03454231433506
EPS Growth (MRQ),0.48369999999999996,-0.4368,Gowth rates,-1.1073717948717947
EPS Growth (TTM),0.4569,1.0762,Gowth rates,0.424549340271325
Revenue Growth (MRQ),0.0265,0.6864,Gowth rates,0.038607226107226104
Revenue Growth (TTM),0.015700000000000002,1.4195,Gowth rates,0.011060232476224023
Return On Equity (TTM),,-0.0895,Effectiveness,
Return On Assets (TTM),0.10619999999999999,-0.046,Effectiveness,-2.308695652173913
Return On Investment (TTM),0.1363,-0.043899999999999995,Effectiveness,-3.104783599088839
Revenue Per Employee (TTM),1108867.0,973395.0,Effectiveness,1.1391747440658726
Total Debt/Total Capital (MRQ),1.1396,0.39,Financial strength,2.9220512820512816
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0047,Financial strength,0.2127659574468085
Quick Ratio (MRQ),3.06,2.76,Financial strength,1.108695652173913
Interest Coverage (MRQ),7.6,-0.71,Financial strength,-10.704225352112676
