,CCL
% Above Low,0.8218000000000001
% Held by Institutions,0.7483
52-Wk Range,['7.80 - 54.44']
Annual Dividend $,
Annual Dividend %,
Ask,14.09
Ask Size,2100.0
B/A Ratio,0.047619047619047616
B/A Size,100x2100
Beta,2.0
Bid,14.02
Bid Size,100.0
Change Since Close,-0.13| |(-0.91%)
Closing Price,14.21
Day Change $,0.68
Day Change %,0.050300000000000004
Day High,14.39
Day Low,13.65
Dividend Pay Date,03/13/20
"EPS (TTM, GAAP)",2.7
Ex-dividend Date,02/20/20
Historical Volatility,0.985
Last (size),7.0
Last (time),6:30p ET 05/08/20
Last Trade,14.08
Market Cap,11.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.01
Prev Close,13.53
Short Interest,0.1912
Today's Open,14.07
Volume,41587406.0
Volume 10-day Avg,67565042.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-18 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-2.2109004739336493
Growth 1yr High Est,0.04861111111111116
Growth 1yr Consensus Est,-1.081144681411269
Growth 2yr Low Est,-1.3021234267906994
Growth 2yr High Est,0.06735191317144962
Growth 2yr Consensus Est,-0.6173857568096248
Growth 5yr Low Est,-0.5927193511556252
Growth 5yr High Est,0.06037137954283006
Growth 5yr Consensus Est,-0.2661739858063976
Growth 5yr Actual/Est,-0.8169271943753966
Growth 3yr Historic,0.03701177395963917
Price/Earnings (TTM),5.01317
Price/Sales (TTM),0.47352
Price/Book (MRQ),0.38156
Price/Cash Flow (TTM),2.42755
5yr Low,7.8
5yr High,72.7
5yr Avg Return,-0.09243333333333333
EPS Growth 5yr,0.2255255
Revenue Growth 5yr,0.0556623
Dividend Growth 5yr,
Short Int Current Month,96803424.0
Short Int Prev Month,39104732.0
Short Int Pct of Float,0.1912277
Days to Cover,0.71115
Float,506.2801
Shares Outstanding,755.7296
Institutions Holding Shares,1025.0
FCF Growth 5yr,-0.22975742011505088
"Price/Earnings (TTM, GAAP)",5.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4132
Operating Profit Margin (TTM),0.10400000000000001
Net Profit Margin (TTM),0.0893
Annual Dividend Yield,
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",0.1544
EPS Growth (MRQ),-2.8598000000000003
EPS Growth (TTM),-0.3848
Revenue Growth (MRQ),0.0015
Revenue Growth (TTM),0.08380000000000001
Return On Equity (TTM),0.0772
Return On Assets (TTM),0.0412
Return On Investment (TTM),0.053099999999999994
Revenue Per Employee (TTM),201365.0
Total Debt/Total Capital (MRQ),0.34750000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.23
Interest Coverage (MRQ),18.92
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-09-27 00:00:00
theStreet since,2020-02-25 00:00:00
cfra since,2019-09-27 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-09-27 00:00:00
