,ADBE
% Below High,0.049699999999999994
% Held by Institutions,0.8684000000000001
52-Wk Range,['255.13 - 386.75']
Annual Dividend $,
Annual Dividend %,
Ask,369.99
Ask Size,100.0
Ask close,0.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,368.44
Bid Size,100.0
Bid close,208.0
Change Since Close,2.48| |(0.67%)
Closing Price,367.51
Day Change $,0.73
Day Change %,0.002
Day High,371.1
Day Low,365.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.61
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),25.0
Last (time),4:15p ET 05/08/20
Last Trade,369.99
Market Cap,177.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",55.53
Prev Close,366.78
Short Interest,0.0115
Today's Open,370.0
Volume,2547224.0
Volume 10-day Avg,2944028.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-06-11 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,0.1687979539641944
Growth 1yr High Est,0.3109137055837563
Growth 1yr Consensus Est,0.23985582977397535
Growth 2yr Low Est,0.15004449120529195
Growth 2yr High Est,0.2512942196844241
Growth 2yr Consensus Est,0.20066935544485803
Growth 5yr Low Est,0.2680769273085099
Growth 5yr High Est,0.3188880831013406
Growth 5yr Consensus Est,0.29348250520492525
Growth 5yr Actual/Est,0.27903596835463806
Growth 3yr Historic,0.18316166476750095
Price/Earnings (TTM),55.52856
Price/Sales (TTM),15.1539
Price/Book (MRQ),16.92831
Price/Cash Flow (TTM),44.0143
5yr Low,71.27
5yr High,386.75
5yr Avg Return,0.3245
EPS Growth 5yr,0.6265833
Revenue Growth 5yr,0.21919329999999998
Dividend Growth 5yr,
Short Int Current Month,5503651.0
Short Int Prev Month,5698013.0
Short Int Pct of Float,0.011473
Days to Cover,1.57852
Float,479.7569
Shares Outstanding,481.8008
Institutions Holding Shares,2377.0
FCF Growth 5yr,0.27395153737909017
"Price/Earnings (TTM, GAAP)",55.53
"PEG Ratio (TTM, GAAP)",2.78
Gross Profit Margin (TTM),0.8519
Operating Profit Margin (TTM),0.30100000000000005
Net Profit Margin (TTM),0.2774
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1191
EPS Growth (TTM),0.1963
Revenue Growth (MRQ),0.033100000000000004
Revenue Growth (TTM),0.2208
Return On Equity (TTM),0.3182
Return On Assets (TTM),0.1589
Return On Investment (TTM),0.2144
Revenue Per Employee (TTM),515214.0
Total Debt/Total Capital (MRQ),0.2821
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),52.06
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2014-12-12 00:00:00
cfra since,2019-06-21 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-03-24 00:00:00
