,ADBE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",55.53,50.54,Valuation,1.0987336762960032
Price/Sales (TTM),15.15,13.35,Valuation,1.1348314606741574
Price/Book (MRQ),16.93,15.07,Valuation,1.1234240212342401
"PEG Ratio (TTM, GAAP)",2.78,0.93,Valuation,2.9892473118279566
Gross Profit Margin (TTM),0.8519,0.7291,Profitability,1.168426827595666
Operating Profit Margin (TTM),0.30100000000000005,0.1791,Profitability,1.6806253489670577
Net Profit Margin (TTM),0.2774,0.1446,Profitability,1.9183955739972336
Annual Dividend Yield,,0.0068000000000000005,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0526,Dividend,
EPS Growth (MRQ),0.1191,0.3473,Gowth rates,0.3429311834149151
EPS Growth (TTM),0.1963,0.5418000000000001,Gowth rates,0.36231081579918784
Revenue Growth (MRQ),0.033100000000000004,0.1888,Gowth rates,0.17531779661016952
Revenue Growth (TTM),0.2208,0.187,Gowth rates,1.1807486631016042
Return On Equity (TTM),0.3182,0.193,Effectiveness,1.6487046632124351
Return On Assets (TTM),0.1589,0.0956,Effectiveness,1.6621338912133892
Return On Investment (TTM),0.2144,0.10890000000000001,Effectiveness,1.9687786960514233
Revenue Per Employee (TTM),515214.0,640191.0,Effectiveness,0.8047816979620145
Total Debt/Total Capital (MRQ),0.2821,0.3724,Financial strength,0.7575187969924813
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0001,Financial strength,8.0
Quick Ratio (MRQ),,1.41,Financial strength,
Interest Coverage (MRQ),52.06,43.75,Financial strength,1.1899428571428572
