,VRSN
% Below High,0.0529
% Held by Institutions,0.9353
52-Wk Range,['148.77 - 221.78']
Annual Dividend $,
Annual Dividend %,
Ask,211.06
Ask Size,1400.0
B/A Ratio,0.21428571428571427
B/A Size,300x1400
Beta,0.9
Bid,201.15
Bid Size,300.0
Closing Price,210.04
Day Change $,-1.74
Day Change %,-0.008199999999999999
Day High,213.85
Day Low,209.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.66
Ex-dividend Date,No dividend
Historical Volatility,0.384
Last (size),445.0
Last (time),4:15p ET 05/08/20
Market Cap,24.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.55
Prev Close,211.78
Short Interest,0.021
Today's Open,213.85
Volume,392445.0
Volume 10-day Avg,651531.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.05084745762711873
Growth 1yr High Est,-0.03460207612456745
Growth 1yr Consensus Est,0.00812269075127564
Growth 2yr Low Est,0.04334487576696444
Growth 2yr High Est,0.043630861579293356
Growth 2yr Consensus Est,0.0434878686731289
Growth 5yr Low Est,0.10689971061075493
Growth 5yr High Est,0.12511616428597924
Growth 5yr Consensus Est,0.11600793744836708
Growth 5yr Actual/Est,0.11410954449736938
Growth 3yr Historic,0.08168441844184421
Price/Earnings (TTM),31.55061
Price/Sales (TTM),19.60604
Price/Book (MRQ),
Price/Cash Flow (TTM),29.24349
5yr Low,61.31
5yr High,221.78
5yr Avg Return,0.24084999999999998
EPS Growth 5yr,0.23485119999999998
Revenue Growth 5yr,0.0404564
Dividend Growth 5yr,
Short Int Current Month,2393811.0
Short Int Prev Month,2175101.0
Short Int Pct of Float,0.0209606
Days to Cover,3.45598
Float,114.0144
Shares Outstanding,115.5395
Institutions Holding Shares,833.0
FCF Growth 5yr,0.03456829117280573
"Price/Earnings (TTM, GAAP)",31.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8541
Operating Profit Margin (TTM),0.6568
Net Profit Margin (TTM),0.6333
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2702
EPS Growth (TTM),-0.0671
Revenue Growth (MRQ),0.0064
Revenue Growth (TTM),0.0128
Return On Equity (TTM),
Return On Assets (TTM),0.4268
Return On Investment (TTM),0.8825000000000001
Revenue Per Employee (TTM),1419469.0
Total Debt/Total Capital (MRQ),4.7172
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.39
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2012-01-29 00:00:00
cfra since,2018-11-12 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
