,VRSN
Price/Earnings (TTM),31.55061
Price/Sales (TTM),19.60604
Price/Book (MRQ),
Price/Cash Flow (TTM),29.24349
5yr Low,61.31
5yr High,221.78
5yr Avg Return,0.24084999999999998
EPS Growth 5yr,0.23485119999999998
Revenue Growth 5yr,0.0404564
Dividend Growth 5yr,
Short Int Current Month,2393811.0
Short Int Prev Month,2175101.0
Short Int Pct of Float,0.0209606
Days to Cover,3.45598
Float,114.0144
Shares Outstanding,115.5395
Institutions Holding Shares,833.0
% Held by Institutions,0.935261
FCF Growth 5yr,0.03456829117280573
