,BAC
% Above Low,0.3131
% Held by Institutions,0.7201000000000001
52-Wk Range,['17.95 - 35.72']
Annual Dividend $,0.72
Annual Dividend %,0.0315
Ask,23.64
Ask Size,100.0
B/A Ratio,20.0
B/A Size,2000x100
Beta,1.6
Bid,23.63
Bid Size,2000.0
Change Since Close,0.06| |(0.25%)
Closing Price,23.57
Day Change $,0.73
Day Change %,0.032
Day High,23.62
Day Low,23.25
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",2.45
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.505
Last (size),30.0
Last (time),6:30p ET 05/08/20
Last Trade,23.63
Market Cap,204.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.32
Prev Close,22.84
Short Interest,0.0125
Today's Open,23.47
Volume,45221173.0
Volume 10-day Avg,54807645.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.9699248120300752
Growth 1yr High Est,-0.39344262295081955
Growth 1yr Consensus Est,-0.6816837174904473
Growth 2yr Low Est,9.015037593984962
Growth 2yr High Est,0.10057598582188748
Growth 2yr Consensus Est,4.557806789903425
Growth 5yr Low Est,4.632714199291332
Growth 5yr High Est,0.17912947305676322
Growth 5yr Consensus Est,2.4059218361740475
Growth 5yr Actual/Est,0.1293112987835283
Growth 3yr Historic,0.11645863420672581
Price/Earnings (TTM),9.32062
Price/Sales (TTM),2.17732
Price/Book (MRQ),0.82052
Price/Cash Flow (TTM),8.11662
5yr Low,10.99
5yr High,35.72
5yr Avg Return,0.10506666666666666
EPS Growth 5yr,0.4545327
Revenue Growth 5yr,0.0661499
Dividend Growth 5yr,0.4062824
Short Int Current Month,108696665.0
Short Int Prev Month,97855845.0
Short Int Pct of Float,0.012543899999999998
Days to Cover,1.37006
Float,8666.483
Shares Outstanding,8675.611
Institutions Holding Shares,2747.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",9.32
"PEG Ratio (TTM, GAAP)",1.82
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3134
Net Profit Margin (TTM),0.2651
Annual Dividend Yield,0.0315
Dividend Change %,0.22219999999999998
"Dividend Growth Rate, 3 Years",0.3821
EPS Growth (MRQ),-0.46270000000000006
EPS Growth (TTM),-0.0898
Revenue Growth (MRQ),-0.0489
Revenue Growth (TTM),-0.0025
Return On Equity (TTM),0.09330000000000001
Return On Assets (TTM),0.0097
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-03-26 00:00:00
cfra since,2019-12-06 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2015-01-07 00:00:00
