,JNJ
Price/Earnings (TTM),23.02546
Price/Sales (TTM),4.70016
Price/Book (MRQ),6.33854
Price/Cash Flow (TTM),16.0937
5yr Low,81.79
5yr High,157.0
5yr Avg Return,0.07253333333333332
EPS Growth 5yr,-0.0023688999999999997
Revenue Growth 5yr,0.019979
Dividend Growth 5yr,0.06322320000000001
Short Int Current Month,19066660.0
Short Int Prev Month,16786939.0
Short Int Pct of Float,0.0072378
Days to Cover,1.8209
Float,2632.389
Shares Outstanding,2634.594
Institutions Holding Shares,3730.0
% Held by Institutions,0.67538
FCF Growth 5yr,0.05525301589979048
