,JNJ
% Below High,0.0529
% Held by Institutions,0.6754000000000001
52-Wk Range,['109.16 - 157.00']
Annual Dividend $,4.04
Annual Dividend %,0.0274
Ask,149.05
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,148.7
Bid Size,100.0
Closing Price,148.7
Day Change $,1.11
Day Change %,0.0075
Day High,149.18
Day Low,147.89
Dividend Pay Date,2020-06-09 00:00:00
"EPS (TTM, GAAP)",6.41
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.306
Last (size),21.0
Last (time),6:30p ET 05/08/20
Market Cap,392.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.03
Prev Close,147.59
Short Interest,0.0072
Today's Open,148.92
Volume,4712477.0
Volume 10-day Avg,7977304.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.13573085846867738
Growth 1yr High Est,-0.09714285714285709
Growth 1yr Consensus Est,-0.11643685780576724
Growth 2yr Low Est,-0.010818449368566796
Growth 2yr High Est,0.06788426763110306
Growth 2yr Consensus Est,0.02853290913126813
Growth 5yr Low Est,0.04002244523014509
Growth 5yr High Est,0.0811164336827663
Growth 5yr Consensus Est,0.060569439456455695
Growth 5yr Actual/Est,0.06107063901509699
Growth 3yr Historic,0.04541815989550185
Price/Earnings (TTM),23.02546
Price/Sales (TTM),4.70016
Price/Book (MRQ),6.33854
Price/Cash Flow (TTM),16.0937
5yr Low,81.79
5yr High,157.0
5yr Avg Return,0.07253333333333332
EPS Growth 5yr,-0.0023688999999999997
Revenue Growth 5yr,0.019979
Dividend Growth 5yr,0.06322320000000001
Short Int Current Month,19066660.0
Short Int Prev Month,16786939.0
Short Int Pct of Float,0.0072378
Days to Cover,1.8209
Float,2632.389
Shares Outstanding,2634.594
Institutions Holding Shares,3730.0
FCF Growth 5yr,0.05525301589979048
"Price/Earnings (TTM, GAAP)",23.03
"PEG Ratio (TTM, GAAP)",4.79
Gross Profit Margin (TTM),0.6631999999999999
Operating Profit Margin (TTM),0.2347
Net Profit Margin (TTM),0.20750000000000002
Annual Dividend Yield,0.027400000000000004
Dividend Change %,0.0593
"Dividend Growth Rate, 3 Years",0.059800000000000006
EPS Growth (MRQ),0.4464
EPS Growth (TTM),0.1869
Revenue Growth (MRQ),-0.0027
Revenue Growth (TTM),0.0139
Return On Equity (TTM),0.28550000000000003
Return On Assets (TTM),0.1125
Return On Investment (TTM),0.1417
Revenue Per Employee (TTM),625787.0
Total Debt/Total Capital (MRQ),0.3104
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),17.5
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,-1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2018-05-21 00:00:00
cfra since,2020-01-23 00:00:00
ford since,2019-11-22 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-07-20 00:00:00
