,WM
Price/Earnings (TTM),25.59786
Price/Sales (TTM),2.75128
Price/Book (MRQ),6.31898
Price/Cash Flow (TTM),12.93228
5yr Low,45.86
5yr High,126.79
5yr Avg Return,0.14345
EPS Growth 5yr,0.0699982
Revenue Growth 5yr,0.020030199999999998
Dividend Growth 5yr,0.0644678
Short Int Current Month,4765438.0
Short Int Prev Month,3838389.0
Short Int Pct of Float,0.0112794
Days to Cover,1.43567
Float,421.3697
Shares Outstanding,422.025
Institutions Holding Shares,1725.0
% Held by Institutions,0.764966
FCF Growth 5yr,0.10165761279410743
