,WM
% Above Low,0.18309999999999998
% Held by Institutions,0.765
52-Wk Range,['85.34 - 126.79']
Annual Dividend $,2.18
Annual Dividend %,0.0215
Ask,102.2
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,0.8
Bid,100.97
Bid Size,500.0
Closing Price,100.97
Day Change $,-0.48
Day Change %,-0.004699999999999999
Day High,102.94
Day Low,100.33
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",3.94
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.326
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,42.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.6
Prev Close,101.45
Short Interest,0.0113
Today's Open,101.96
Volume,1761806.0
Volume 10-day Avg,2268346.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.24186046511627912
Growth 1yr High Est,0.033482142857142794
Growth 1yr Consensus Est,-0.10418916112956816
Growth 2yr Low Est,-0.03810814666856904
Growth 2yr High Est,0.029700034711508727
Growth 2yr Consensus Est,-0.004204055978530158
Growth 5yr Low Est,0.06359685428128722
Growth 5yr High Est,0.10693450437214291
Growth 5yr Consensus Est,0.08526567932671507
Growth 5yr Actual/Est,0.0840298019645846
Growth 3yr Historic,0.08799171842650105
Price/Earnings (TTM),25.59786
Price/Sales (TTM),2.75128
Price/Book (MRQ),6.31898
Price/Cash Flow (TTM),12.93228
5yr Low,45.86
5yr High,126.79
5yr Avg Return,0.14345
EPS Growth 5yr,0.0699982
Revenue Growth 5yr,0.020030199999999998
Dividend Growth 5yr,0.0644678
Short Int Current Month,4765438.0
Short Int Prev Month,3838389.0
Short Int Pct of Float,0.0112794
Days to Cover,1.43567
Float,421.3697
Shares Outstanding,422.025
Institutions Holding Shares,1725.0
FCF Growth 5yr,0.10165761279410743
"Price/Earnings (TTM, GAAP)",25.6
"PEG Ratio (TTM, GAAP)",4.47
Gross Profit Margin (TTM),0.4731
Operating Profit Margin (TTM),0.16570000000000001
Net Profit Margin (TTM),0.10880000000000001
Annual Dividend Yield,0.0216
Dividend Change %,0.10220000000000001
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.1925
EPS Growth (TTM),-0.0906
Revenue Growth (MRQ),-0.0304
Revenue Growth (TTM),0.0258
Return On Equity (TTM),0.256
Return On Assets (TTM),0.0667
Return On Investment (TTM),0.0768
Revenue Per Employee (TTM),344944.0
Total Debt/Total Capital (MRQ),0.6659999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.8
Interest Coverage (MRQ),4.46
newConstructs,3
researchTeam,reduce
theStreet,buy
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
theStreet since,2014-04-25 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,
ford since,2020-01-10 00:00:00
creditSuisse since,
