,Industry,RTX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.62,12.35,Valuation,0.44713975380159304
Price/Sales (TTM),11.1,1.16,Valuation,0.1045045045045045
Price/Book (MRQ),8.42,1.29,Valuation,0.15320665083135393
"PEG Ratio (TTM, GAAP)",0.57,,Valuation,
Gross Profit Margin (TTM),0.22,0.2641,Profitability,1.2004545454545454
Operating Profit Margin (TTM),-0.37560000000000004,0.10490000000000001,Profitability,-0.27928647497337594
Net Profit Margin (TTM),-0.4008,0.059000000000000004,Profitability,-0.1472055888223553
Annual Dividend Yield,0.0174,0.032400000000000005,Dividend,1.8620689655172418
Dividend Change %,0.0746,0.037000000000000005,Dividend,0.49597855227882043
"Dividend Growth Rate, 3 Years",0.094,0.0392,Dividend,0.41702127659574467
EPS Growth (MRQ),-4.3931000000000004,-1.0733,Gowth rates,0.2443149484418747
EPS Growth (TTM),-0.4832,-0.35130000000000006,Gowth rates,0.7270281456953643
Revenue Growth (MRQ),0.1291,-0.06860000000000001,Gowth rates,-0.5313710302091403
Revenue Growth (TTM),0.15109999999999998,0.10439999999999999,Gowth rates,0.6909331568497684
Return On Equity (TTM),0.5414,0.1038,Effectiveness,0.19172515700036943
Return On Assets (TTM),0.0535,0.032799999999999996,Effectiveness,0.6130841121495326
Return On Investment (TTM),0.0666,0.0434,Effectiveness,0.6516516516516516
Revenue Per Employee (TTM),402070.0,316164.0,Effectiveness,0.7863406869450593
Total Debt/Total Capital (MRQ),0.687,0.5243,Financial strength,0.7631732168850072
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0001,Financial strength,0.07692307692307691
Quick Ratio (MRQ),1.14,0.87,Financial strength,0.7631578947368421
Interest Coverage (MRQ),8.72,5.37,Financial strength,0.6158256880733944
