,RTX
% Above Low,0.4412
% Held by Institutions,0.4461
52-Wk Range,['40.71 - 93.45']
Annual Dividend $,1.9
Annual Dividend %,0.0333
Ask,58.9
Ask Size,3100.0
B/A Ratio,0.03225806451612903
B/A Size,100x3100
Beta,1.4
Bid,58.65
Bid Size,100.0
Closing Price,58.67
Day Change $,1.66
Day Change %,0.0291
Day High,58.75
Day Low,57.35
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",4.75
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,1.236
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,88.9B
"P/E Ratio (TTM, GAAP)",12.35
Prev Close,57.01
Short Interest,0.0232
Today's Open,57.72
Volume,10183212.0
Volume 10-day Avg,12557335.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.7345679012345678
Growth 1yr High Est,-0.4648058252427184
Growth 1yr Consensus Est,-0.5996868632386432
Growth 2yr Low Est,-0.0765862761986793
Growth 2yr High Est,-0.13603103053519144
Growth 2yr Consensus Est,-0.10630865336693537
Growth 5yr Low Est,0.01852504371884217
Growth 5yr High Est,-0.010552828700431532
Growth 5yr Consensus Est,0.0039861075092053055
Growth 5yr Actual/Est,-0.026179899216105612
Growth 3yr Historic,0.05744370782409375
Price/Earnings (TTM),12.35108
Price/Sales (TTM),1.15696
Price/Book (MRQ),1.28943
Price/Cash Flow (TTM),10.64363
5yr Low,48.05
5yr High,158.44
5yr Avg Return,-0.03623333333333333
EPS Growth 5yr,-0.0074722
Revenue Growth 5yr,0.0588009
Dividend Growth 5yr,0.044929699999999996
Short Int Current Month,20075460.0
Short Int Prev Month,9022949.0
Short Int Pct of Float,0.023205800000000002
Days to Cover,1.09333
Float,1514.594
Shares Outstanding,1516.269
Institutions Holding Shares,2319.0
FCF Growth 5yr,0.20519964191355783
"Price/Earnings (TTM, GAAP)",12.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2641
Operating Profit Margin (TTM),0.10490000000000001
Net Profit Margin (TTM),0.059000000000000004
Annual Dividend Yield,0.032400000000000005
Dividend Change %,0.037000000000000005
"Dividend Growth Rate, 3 Years",0.0392
EPS Growth (MRQ),-1.0733
EPS Growth (TTM),-0.35130000000000006
Revenue Growth (MRQ),-0.06860000000000001
Revenue Growth (TTM),0.10439999999999999
Return On Equity (TTM),0.1038
Return On Assets (TTM),0.032799999999999996
Return On Investment (TTM),0.0434
Revenue Per Employee (TTM),316164.0
Total Debt/Total Capital (MRQ),0.5243
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),5.37
theStreet,buy
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
cfra,4
ford,3
marketEdge,
theStreet since,2020-04-20 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
creditSuisse since,2019-10-03 00:00:00
cfra since,2015-07-21 00:00:00
ford since,2019-09-27 00:00:00
marketEdge since,
