,GM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.86,92.59,Valuation,0.07409007452208662
Price/Sales (TTM),0.24,4.01,Valuation,0.059850374064837904
Price/Book (MRQ),0.78,11.38,Valuation,0.06854130052724076
"PEG Ratio (TTM, GAAP)",1.2,2.83,Valuation,0.4240282685512367
Gross Profit Margin (TTM),0.0981,0.158,Profitability,0.6208860759493672
Operating Profit Margin (TTM),0.0362,0.0227,Profitability,1.5947136563876652
Net Profit Margin (TTM),0.0356,0.0002,Profitability,178.0
Annual Dividend Yield,,0.0006,Dividend,
Dividend Change %,0.0,0.0019,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0023,Dividend,0.0
EPS Growth (MRQ),2.0573,0.425,Gowth rates,4.840705882352942
EPS Growth (TTM),-0.4681,0.3271,Gowth rates,-1.4310608376643228
Revenue Growth (MRQ),0.0611,0.294,Gowth rates,0.20782312925170068
Revenue Growth (TTM),-0.0738,0.0978,Gowth rates,-0.7546012269938651
Return On Equity (TTM),0.1164,0.0006,Effectiveness,194.00000000000003
Return On Assets (TTM),0.02,0.0029,Effectiveness,6.8965517241379315
Return On Investment (TTM),0.0326,0.0044,Effectiveness,7.409090909090908
Revenue Per Employee (TTM),823585.0,614350.0,Effectiveness,1.3405794742410677
Total Debt/Total Capital (MRQ),0.7406,0.621,Financial strength,1.1925925925925926
Change in Debt/Total Capital Quarter over Quarter,-0.0002,-0.0004,Financial strength,0.5
Quick Ratio (MRQ),0.95,0.91,Financial strength,1.0439560439560438
Interest Coverage (MRQ),7.55,2.3,Financial strength,3.2826086956521743
