,CMS
% Above Low,0.20120000000000002
% Held by Institutions,0.9262
52-Wk Range,['46.03 - 69.17']
Annual Dividend $,1.63
Annual Dividend %,0.029900000000000003
Ask,60.55
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.2
Bid,54.0
Bid Size,600.0
Closing Price,55.29
Day Change $,0.75
Day Change %,0.0138
Day High,55.59
Day Low,54.56
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",2.39
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.369
Last (size),548.0
Last (time),6:30p ET 05/08/20
Market Cap,15.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.77
Prev Close,54.54
Short Interest,0.0118
Today's Open,55.11
Volume,1457886.0
Volume 10-day Avg,2035306.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.028225806451612767
Growth 1yr High Est,0.07600000000000007
Growth 1yr Consensus Est,0.05211290322580642
Growth 2yr Low Est,0.045485452245414226
Growth 2yr High Est,0.0733159851301115
Growth 2yr Consensus Est,0.059400718687762866
Growth 5yr Low Est,0.058502623951570465
Growth 5yr High Est,0.07211085221760305
Growth 5yr Consensus Est,0.06530673808458676
Growth 5yr Actual/Est,0.06961876378366139
Growth 3yr Historic,0.035600561697751276
Price/Earnings (TTM),22.77282
Price/Sales (TTM),2.33093
Price/Book (MRQ),2.98953
Price/Cash Flow (TTM),13.651
5yr Low,31.22
5yr High,69.17
5yr Avg Return,0.09359999999999997
EPS Growth 5yr,0.056161
Revenue Growth 5yr,-0.0094831
Dividend Growth 5yr,0.072145
Short Int Current Month,3342689.0
Short Int Prev Month,3548939.0
Short Int Pct of Float,0.0118383
Days to Cover,1.57522
Float,282.4698
Shares Outstanding,284.208
Institutions Holding Shares,815.0
FCF Growth 5yr,-2.7849321691679836
"Price/Earnings (TTM, GAAP)",22.77
"PEG Ratio (TTM, GAAP)",3.12
Gross Profit Margin (TTM),0.32659999999999995
Operating Profit Margin (TTM),0.1877
Net Profit Margin (TTM),0.10289999999999999
Annual Dividend Yield,0.029900000000000003
Dividend Change %,0.0699
"Dividend Growth Rate, 3 Years",0.0726
EPS Growth (MRQ),0.7354
EPS Growth (TTM),0.139
Revenue Growth (MRQ),0.0384
Revenue Growth (TTM),-0.0471
Return On Equity (TTM),0.1359
Return On Assets (TTM),0.0262
Return On Investment (TTM),0.027999999999999997
Revenue Per Employee (TTM),818159.0
Total Debt/Total Capital (MRQ),0.733
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.69
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-25 00:00:00
theStreet since,2018-04-27 00:00:00
cfra since,2020-04-28 00:00:00
ford since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-01-17 00:00:00
