,CMS
Price/Earnings (TTM),22.77282
Price/Sales (TTM),2.33093
Price/Book (MRQ),2.98953
Price/Cash Flow (TTM),13.651
5yr Low,31.22
5yr High,69.17
5yr Avg Return,0.09359999999999997
EPS Growth 5yr,0.056161
Revenue Growth 5yr,-0.0094831
Dividend Growth 5yr,0.072145
Short Int Current Month,3342689.0
Short Int Prev Month,3548939.0
Short Int Pct of Float,0.0118383
Days to Cover,1.57522
Float,282.4698
Shares Outstanding,284.208
Institutions Holding Shares,815.0
% Held by Institutions,0.926238
FCF Growth 5yr,-2.7849321691679836
