,Industry,PEG,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.49,17.16,Valuation,0.7006941608819927
Price/Sales (TTM),2.83,2.5,Valuation,0.8833922261484098
Price/Book (MRQ),2.05,1.61,Valuation,0.7853658536585367
"PEG Ratio (TTM, GAAP)",5.27,4.64,Valuation,0.8804554079696395
Gross Profit Margin (TTM),0.2266,,Profitability,
Operating Profit Margin (TTM),0.2084,0.1978,Profitability,0.9491362763915547
Net Profit Margin (TTM),0.1139,0.1459,Profitability,1.2809482001755925
Annual Dividend Yield,0.0388,0.0402,Dividend,1.036082474226804
Dividend Change %,0.0669,0.0444,Dividend,0.6636771300448431
"Dividend Growth Rate, 3 Years",0.0698,0.0466,Dividend,0.667621776504298
EPS Growth (MRQ),-0.2757,0.0252,Gowth rates,-0.09140369967355821
EPS Growth (TTM),0.0464,-0.08800000000000001,Gowth rates,-1.8965517241379313
Revenue Growth (MRQ),0.0005,0.1223,Gowth rates,244.6
Revenue Growth (TTM),0.0717,0.0019,Gowth rates,0.026499302649930265
Return On Equity (TTM),0.0804,0.0959,Effectiveness,1.1927860696517414
Return On Assets (TTM),0.0232,0.030600000000000002,Effectiveness,1.3189655172413794
Return On Investment (TTM),0.026600000000000002,0.034100000000000005,Effectiveness,1.2819548872180453
Revenue Per Employee (TTM),787833.0,760237.0,Effectiveness,0.9649722720424252
Total Debt/Total Capital (MRQ),0.5632,0.5236999999999999,Financial strength,0.9298650568181817
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0004,Financial strength,-4.0
Quick Ratio (MRQ),0.55,0.57,Financial strength,1.0363636363636362
Interest Coverage (MRQ),3.07,2.25,Financial strength,0.7328990228013029
