,PEG
% Above Low,0.4035
% Held by Institutions,0.7103
52-Wk Range,['34.75 - 63.88']
Annual Dividend $,1.96
Annual Dividend %,0.040999999999999995
Ask,55.0
Ask Size,600.0
B/A Ratio,0.5
B/A Size,300x600
Beta,0.6
Bid,47.82
Bid Size,300.0
Closing Price,48.77
Day Change $,0.95
Day Change %,0.0199
Day High,49.0
Day Low,48.09
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.84
Ex-dividend,2020-06-08 00:00:00
Ex-dividend Date,06/08/20
Historical Volatility,0.34600000000000003
Last (size),33800.0
Last (time),6:30p ET 05/08/20
Market Cap,24.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.16
Prev Close,47.82
Short Interest,0.0126
Today's Open,48.39
Volume,2121774.0
Volume 10-day Avg,2194457.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.015772870662460692
Growth 1yr High Est,0.04268292682926833
Growth 1yr Consensus Est,0.02922789874586451
Growth 2yr Low Est,0.014097615455453849
Growth 2yr High Est,0.07397304236200253
Growth 2yr Consensus Est,0.04403532890872819
Growth 5yr Low Est,0.031685185758852485
Growth 5yr High Est,0.06155124446937743
Growth 5yr Consensus Est,0.04661821511411496
Growth 5yr Actual/Est,0.04108390068018225
Growth 3yr Historic,0.029032116916075934
Price/Earnings (TTM),17.15918
Price/Sales (TTM),2.49664
Price/Book (MRQ),1.61191
Price/Cash Flow (TTM),8.84164
5yr Low,34.75
5yr High,63.88
5yr Avg Return,0.03555
EPS Growth 5yr,0.022464300000000003
Revenue Growth 5yr,-0.0153453
Dividend Growth 5yr,0.049009
Short Int Current Month,6344352.0
Short Int Prev Month,4756384.0
Short Int Pct of Float,0.0125681
Days to Cover,1.759
Float,505.3167
Shares Outstanding,505.6253
Institutions Holding Shares,1093.0
FCF Growth 5yr,-3.589767012129768
"Price/Earnings (TTM, GAAP)",17.16
"PEG Ratio (TTM, GAAP)",4.64
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1978
Net Profit Margin (TTM),0.1459
Annual Dividend Yield,0.0402
Dividend Change %,0.0444
"Dividend Growth Rate, 3 Years",0.0466
EPS Growth (MRQ),0.0252
EPS Growth (TTM),-0.08800000000000001
Revenue Growth (MRQ),0.1223
Revenue Growth (TTM),0.0019
Return On Equity (TTM),0.0959
Return On Assets (TTM),0.030600000000000002
Return On Investment (TTM),0.034100000000000005
Revenue Per Employee (TTM),760237.0
Total Debt/Total Capital (MRQ),0.5236999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),2.25
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-05-01 00:00:00
theStreet since,2009-05-20 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,
