,2015,2016,2017,2018,2019,2020,Report
high,65.77,70.9,87.81,116.64,157.86,177.99,
low,48.99,50.77,61.22,84.93,90.64,108.85,
change,-0.17850000000000002,0.1714,0.3638,0.33649999999999997,0.38380000000000003,0.04730000000000001,
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Balance Sheet
Cash,,292.0,277.0,3.0,,,Balance Sheet
Cash & Equivalents,717.0,440.0,545.0,186.0,147.0,,Balance Sheet
Cash and Short Term Invs,717.0,731.0,822.0,189.0,147.0,,Balance Sheet
"Trade Accts Recvble, Gross",375.0,395.0,462.0,503.0,554.0,,Balance Sheet
Prov. for Doubtful Accts,-12.0,-13.0,-11.0,-19.0,-25.0,,Balance Sheet
"Total Receivables, Net",363.0,382.0,451.0,484.0,538.0,,Balance Sheet
Invent. - Finished Goods,170.0,153.0,188.0,191.0,267.0,,Balance Sheet
Invent. - Work In Progress,3.0,4.0,4.0,2.0,2.0,,Balance Sheet
Invent. - Raw Materials,74.0,67.0,76.0,75.0,81.0,,Balance Sheet
Total Inventory,247.0,224.0,268.0,269.0,350.0,,Balance Sheet
Prepaid Expenses,80.0,79.0,101.0,124.0,110.0,,Balance Sheet
"Other Curr. Assets, Total",2.0,2.0,3.0,0.0,0.0,,Balance Sheet
Total Current Assets,1408.0,1420.0,1644.0,1066.0,1145.0,,Balance Sheet
Buildings,267.0,263.0,270.0,261.0,257.0,,Balance Sheet
Land/Improvements,55.0,54.0,55.0,54.0,52.0,,Balance Sheet
Machinery/Equipment,410.0,440.0,478.0,494.0,537.0,,Balance Sheet
Other Prop./Plant/Equip.,39.0,41.0,47.0,51.0,52.0,,Balance Sheet
Prop./Plant/Equip. - Gross,770.0,799.0,851.0,861.0,899.0,,Balance Sheet
Accumulated Depreciation,-382.0,-414.0,-456.0,-474.0,-512.0,,Balance Sheet
Prop./Plant/Equip. - Net,388.0,384.0,394.0,387.0,387.0,,Balance Sheet
"Goodwill, Net",264.0,1059.0,1065.0,1069.0,1856.0,,Balance Sheet
Intangibles - Gross,169.0,450.0,471.0,467.0,851.0,,Balance Sheet
Accum. Intangible Amort.,-122.0,-150.0,-209.0,-252.0,-329.0,,Balance Sheet
Intangibles - Net,47.0,300.0,262.0,215.0,522.0,,Balance Sheet
Long Term Investments,,,,,30.0,,Balance Sheet
Note Rcvble - Long Term,,,,,5.0,,Balance Sheet
Other Long Term Assets,28.0,38.0,42.0,274.0,116.0,,Balance Sheet
Total Assets,2182.0,3257.0,3468.0,3064.0,4108.0,,Balance Sheet
Accounts Payable,81.0,93.0,93.0,93.0,116.0,,Balance Sheet
Accrued Expenses,131.0,157.0,185.0,183.0,266.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,0.0,299.0,0.0,11.0,12.0,,Balance Sheet
Customer Advances,36.0,50.0,52.0,61.0,89.0,,Balance Sheet
Income Taxes Payable,16.0,39.0,29.0,160.0,73.0,,Balance Sheet
Other Current Liabilities,2.0,0.0,1.0,2.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",54.0,89.0,82.0,224.0,162.0,,Balance Sheet
Total Current Liabilities,266.0,638.0,360.0,511.0,556.0,,Balance Sheet
Total Long Term Debt,301.0,873.0,1079.0,270.0,1259.0,,Balance Sheet
Total Debt,301.0,1173.0,1079.0,281.0,1271.0,,Balance Sheet
Deferred Income Tax,6.0,9.0,14.0,13.0,11.0,,Balance Sheet
"Other Liabilities, Total",21.0,41.0,56.0,211.0,209.0,,Balance Sheet
Total Liabilities,594.0,1562.0,1508.0,1005.0,2035.0,,Balance Sheet
Common Stock,1.0,1.0,1.0,1.0,1.0,,Balance Sheet
Additional Paid-In Capital,1229.0,1303.0,1379.0,1451.0,1511.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1976.0,2160.0,2316.0,2432.0,2436.0,,Balance Sheet
Treasury Stock - Common,-1445.0,-1547.0,-1547.0,-1600.0,-1623.0,,Balance Sheet
"Other Equity, Total",-174.0,-223.0,-189.0,-224.0,-253.0,,Balance Sheet
