,EQR
% Above Low,0.2942
% Held by Institutions,0.9336
52-Wk Range,['49.62 - 89.55']
Annual Dividend $,2.41
Annual Dividend %,0.0382
Ask,69.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,64.0
Bid Size,100.0
Closing Price,64.22
Day Change $,1.17
Day Change %,0.018600000000000002
Day High,65.07
Day Low,63.2
Dividend Pay Date,2020-04-13 00:00:00
"EPS (TTM, GAAP)",3.11
Ex-dividend,2020-03-20 00:00:00
Ex-dividend Date,03/20/20
Historical Volatility,0.41000000000000003
Last (size),57700.0
Last (time),6:30p ET 05/08/20
Market Cap,23.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.26
Prev Close,63.05
Short Interest,0.0139
Today's Open,64.22
Volume,2169254.0
Volume 10-day Avg,2417720.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.32704402515723274
Growth 1yr High Est,0.06024096385542177
Growth 1yr Consensus Est,-0.1334015306509055
Growth 2yr Low Est,-0.154176218186093
Growth 2yr High Est,0.024438663745892708
Growth 2yr Consensus Est,-0.06486877722010015
Growth 5yr Low Est,-0.0770881090930465
Growth 5yr High Est,0.012219331872946354
Growth 5yr Consensus Est,-0.032434388610050074
Growth 5yr Actual/Est,0.03537492241502163
Growth 3yr Historic,0.13704871158881082
Price/Earnings (TTM),20.25807
Price/Sales (TTM),8.62254
Price/Book (MRQ),2.23587
Price/Cash Flow (TTM),11.70818
5yr Low,49.62
5yr High,89.55
5yr Avg Return,-0.011466666666666665
EPS Growth 5yr,0.0698225
Revenue Growth 5yr,0.0065176
Dividend Growth 5yr,0.008460299999999999
Short Int Current Month,5089511.0
Short Int Prev Month,4562677.0
Short Int Pct of Float,0.0139033
Days to Cover,2.09893
Float,366.3363
Shares Outstanding,372.1041
Institutions Holding Shares,853.0
FCF Growth 5yr,-0.3805309754497994
"Price/Earnings (TTM, GAAP)",20.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6631
Operating Profit Margin (TTM),0.5765
Net Profit Margin (TTM),0.4291
Annual Dividend Yield,0.0382
Dividend Change %,0.0559
"Dividend Growth Rate, 3 Years",0.0281
EPS Growth (MRQ),0.0268
EPS Growth (TTM),1.1051
Revenue Growth (MRQ),-0.0023
Revenue Growth (TTM),0.0433
Return On Equity (TTM),0.1143
Return On Assets (TTM),0.055999999999999994
Return On Investment (TTM),0.0602
Revenue Per Employee (TTM),1007744.0
Total Debt/Total Capital (MRQ),0.43700000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.5
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,buy
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-23 00:00:00
cfra since,2020-05-07 00:00:00
theStreet since,2018-11-29 00:00:00
ford since,2019-12-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
