,AAP
% Below High,0.2717
% Held by Institutions,1.008
52-Wk Range,['71.33 - 171.43']
Annual Dividend $,1.0
Annual Dividend %,0.0084
Ask,125.52
Ask Size,200.0
B/A Ratio,14.0
B/A Size,2800x200
Beta,1.3
Bid,124.79
Bid Size,2800.0
Change Since Close,0.00| |(0.00%)
Closing Price,124.85
Day Change $,5.24
Day Change %,0.0438
Day High,125.71
Day Low,121.13
Dividend Pay Date,2020-04-03 00:00:00
"EPS (TTM, GAAP)",6.84
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.467
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,8.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.5
Prev Close,119.61
Short Interest,0.0246
Today's Open,121.9
Volume,911524.0
Volume 10-day Avg,724088.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4338422391857506
Growth 1yr High Est,0.1389236545682102
Growth 1yr Consensus Est,-0.1474592923087702
Growth 2yr Low Est,0.03251708265431563
Growth 2yr High Est,0.14363765145992924
Growth 2yr Consensus Est,0.08807736705712244
Growth 5yr Low Est,0.1369497702708139
Growth 5yr High Est,0.1892570594964723
Growth 5yr Consensus Est,0.1631034148836431
Growth 5yr Actual/Est,0.13791866675313313
Growth 3yr Historic,0.11910358570939794
Price/Earnings (TTM),17.49899
Price/Sales (TTM),0.85115
Price/Book (MRQ),2.33323
Price/Cash Flow (TTM),11.39414
5yr Low,71.33
5yr High,201.24
5yr Avg Return,0.01985
EPS Growth 5yr,0.0040354
Revenue Growth 5yr,-0.0027551
Dividend Growth 5yr,0.0
Short Int Current Month,1694128.0
Short Int Prev Month,1533419.0
Short Int Pct of Float,0.024609100000000002
Days to Cover,1.42372
Float,68.85382
Shares Outstanding,69.08947
Institutions Holding Shares,697.0
FCF Growth 5yr,0.1760371692657177
"Price/Earnings (TTM, GAAP)",17.5
"PEG Ratio (TTM, GAAP)",2.5
Gross Profit Margin (TTM),0.4386
Operating Profit Margin (TTM),0.0697
Net Profit Margin (TTM),0.0501
Annual Dividend Yield,0.0084
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.2141
EPS Growth (TTM),0.20870000000000002
Revenue Growth (MRQ),-0.08630000000000002
Revenue Growth (TTM),0.0134
Return On Equity (TTM),0.13720000000000002
Return On Assets (TTM),0.048
Return On Investment (TTM),0.0817
Revenue Per Employee (TTM),248949.0
Total Debt/Total Capital (MRQ),0.1739
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),18.32
newConstructs,1
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-17 00:00:00
cfra since,2017-07-06 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2013-11-20 00:00:00
