,ILMN
% Below High,0.1862
% Held by Institutions,0.9318000000000001
52-Wk Range,['196.78 - 380.76']
Annual Dividend $,
Annual Dividend %,
Ask,315.66
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.9
Bid,310.0
Bid Size,200.0
Closing Price,309.87
Day Change $,-3.49
Day Change %,-0.0111
Day High,318.0
Day Low,308.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.34
Ex-dividend Date,No dividend
Historical Volatility,0.441
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,45.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.42
Prev Close,313.36
Short Interest,0.022400000000000003
Today's Open,317.33
Volume,687146.0
Volume 10-day Avg,834436.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.15600624024960996
Growth 1yr High Est,-0.009063444108761365
Growth 1yr Consensus Est,-0.08253484217918566
Growth 2yr Low Est,0.04491739743526896
Growth 2yr High Est,0.11589510721391205
Growth 2yr Consensus Est,0.0804062523245905
Growth 5yr Low Est,0.07015472183330285
Growth 5yr High Est,0.11985284262869549
Growth 5yr Consensus Est,0.09500378223099916
Growth 5yr Actual/Est,0.19175229774699729
Growth 3yr Historic,0.14465034965034967
Price/Earnings (TTM),49.42111
Price/Sales (TTM),12.95386
Price/Book (MRQ),9.93828
Price/Cash Flow (TTM),40.98214
5yr Low,119.37
5yr High,380.76
5yr Avg Return,0.12538333333333335
EPS Growth 5yr,0.2317394
Revenue Growth 5yr,0.137387
Dividend Growth 5yr,
Short Int Current Month,3275637.0
Short Int Prev Month,2693676.0
Short Int Pct of Float,0.0223759
Days to Cover,2.77717
Float,146.318
Shares Outstanding,147.0
Institutions Holding Shares,1229.0
FCF Growth 5yr,0.09337984243655448
"Price/Earnings (TTM, GAAP)",49.42
"PEG Ratio (TTM, GAAP)",4.63
Gross Profit Margin (TTM),0.7036
Operating Profit Margin (TTM),0.2837
Net Profit Margin (TTM),0.2641
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2713
EPS Growth (TTM),0.09949999999999999
Revenue Growth (MRQ),-0.0977
Revenue Growth (TTM),0.0471
Return On Equity (TTM),0.2186
Return On Assets (TTM),0.1282
Return On Investment (TTM),0.1535
Revenue Per Employee (TTM),461818.0
Total Debt/Total Capital (MRQ),0.19890000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),3.74
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,4
theStreet,buy
ford,3
marketEdge opinion,long
marketEdge,-1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
cfra since,2020-01-31 00:00:00
theStreet since,2017-04-07 00:00:00
ford since,2020-01-10 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
