,ILMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",49.42,39.75,Valuation,1.2432704402515724
Price/Sales (TTM),12.95,7.43,Valuation,1.7429340511440108
Price/Book (MRQ),9.94,8.09,Valuation,1.2286773794808405
"PEG Ratio (TTM, GAAP)",4.63,1.17,Valuation,3.9572649572649574
Gross Profit Margin (TTM),0.7036,0.4958,Profitability,1.419120613150464
Operating Profit Margin (TTM),0.2837,0.1328,Profitability,2.136295180722892
Net Profit Margin (TTM),0.2641,0.12480000000000001,Profitability,2.1161858974358974
Annual Dividend Yield,,0.0019,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0348,Dividend,
EPS Growth (MRQ),-0.2713,-0.0006,Gowth rates,452.1666666666667
EPS Growth (TTM),0.09949999999999999,0.341,Gowth rates,0.2917888563049853
Revenue Growth (MRQ),-0.0977,0.0514,Gowth rates,-1.9007782101167314
Revenue Growth (TTM),0.0471,0.0785,Gowth rates,0.6000000000000001
Return On Equity (TTM),0.2186,0.2126,Effectiveness,1.0282220131702726
Return On Assets (TTM),0.1282,0.0734,Effectiveness,1.7465940054495912
Return On Investment (TTM),0.1535,0.0873,Effectiveness,1.7583046964490263
Revenue Per Employee (TTM),461818.0,318090.0,Effectiveness,1.4518469615517622
Total Debt/Total Capital (MRQ),0.19890000000000002,0.40409999999999996,Financial strength,0.49220489977728293
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004,0.0002,Financial strength,-16.5
Quick Ratio (MRQ),3.74,2.18,Financial strength,1.7155963302752293
Interest Coverage (MRQ),,7.24,Financial strength,
