,KMB
Price/Earnings (TTM),19.96227
Price/Sales (TTM),2.47279
Price/Book (MRQ),
Price/Cash Flow (TTM),14.69469
5yr Low,97.1
5yr High,149.23
5yr Avg Return,0.04783333333333333
EPS Growth 5yr,0.09799
Revenue Growth 5yr,-0.013265599999999999
Dividend Growth 5yr,0.0419714
Short Int Current Month,5272480.0
Short Int Prev Month,5076398.0
Short Int Pct of Float,0.0154972
Days to Cover,2.7977
Float,339.38
Shares Outstanding,340.5471
Institutions Holding Shares,1883.0
% Held by Institutions,0.719381
FCF Growth 5yr,0.10915560651160569
