,KMB
% Below High,0.0718
% Held by Institutions,0.7193999999999999
52-Wk Range,['110.66 - 149.23']
Annual Dividend $,4.28
Annual Dividend %,0.0313
Ask,144.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,132.11
Bid Size,100.0
Closing Price,138.51
Day Change $,1.81
Day Change %,0.0132
Day High,139.09
Day Low,137.43
Dividend Pay Date,2020-07-02 00:00:00
"EPS (TTM, GAAP)",6.85
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.312
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,47.2B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",19.96
Prev Close,136.7
Short Interest,0.0155
Today's Open,138.79
Volume,1138137.0
Volume 10-day Avg,1887514.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.08431952662721898
Growth 1yr High Est,0.11671469740634
Growth 1yr Consensus Est,0.10051711201677949
Growth 2yr Low Est,0.04215976331360949
Growth 2yr High Est,0.08867992934833135
Growth 2yr Consensus Est,0.06541984633097042
Growth 5yr Low Est,0.043645290065331466
Growth 5yr High Est,0.07177226646103652
Growth 5yr Consensus Est,0.05770877826318399
Growth 5yr Actual/Est,0.054599589898309486
Growth 3yr Historic,0.025838811276265583
Price/Earnings (TTM),19.96227
Price/Sales (TTM),2.47279
Price/Book (MRQ),
Price/Cash Flow (TTM),14.69469
5yr Low,97.1
5yr High,149.23
5yr Avg Return,0.04783333333333333
EPS Growth 5yr,0.09799
Revenue Growth 5yr,-0.013265599999999999
Dividend Growth 5yr,0.0419714
Short Int Current Month,5272480.0
Short Int Prev Month,5076398.0
Short Int Pct of Float,0.0154972
Days to Cover,2.7977
Float,339.38
Shares Outstanding,340.5471
Institutions Holding Shares,1883.0
FCF Growth 5yr,0.10915560651160569
"Price/Earnings (TTM, GAAP)",19.96
"PEG Ratio (TTM, GAAP)",3.64
Gross Profit Margin (TTM),0.359
Operating Profit Margin (TTM),0.1697
Net Profit Margin (TTM),0.1207
Annual Dividend Yield,0.0313
Dividend Change %,0.0302
"Dividend Growth Rate, 3 Years",0.0396
EPS Growth (MRQ),0.2076
EPS Growth (TTM),0.3199
Revenue Growth (MRQ),0.09300000000000001
Revenue Growth (TTM),0.023799999999999998
Return On Equity (TTM),
Return On Assets (TTM),0.1471
Return On Investment (TTM),0.271
Revenue Per Employee (TTM),470650.0
Total Debt/Total Capital (MRQ),0.9945999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),16.88
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromlong
marketEdge,-1
theStreet,hold
cfra,4
ford,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-04-24 00:00:00
cfra since,2020-03-11 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
