,KMB
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.08431952662721898
Growth 1yr High Est,0.11671469740634
Growth 1yr Consensus Est,0.10051711201677949
Growth 2yr Low Est,0.04215976331360949
Growth 2yr High Est,0.08867992934833135
Growth 2yr Consensus Est,0.06541984633097042
Growth 5yr Low Est,0.043645290065331466
Growth 5yr High Est,0.07177226646103652
Growth 5yr Consensus Est,0.05770877826318399
Growth 5yr Actual/Est,0.054599589898309486
Growth 3yr Historic,0.025838811276265583
