,Industry,MAS,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.41,17.81,Valuation,0.6055763345800748
Price/Sales (TTM),2.03,1.62,Valuation,0.7980295566502464
Price/Book (MRQ),4.07,,Valuation,
"PEG Ratio (TTM, GAAP)",1.46,1.98,Valuation,1.356164383561644
Gross Profit Margin (TTM),0.3201,0.35369999999999996,Profitability,1.1049671977507027
Operating Profit Margin (TTM),0.1118,0.16469999999999999,Profitability,1.4731663685152057
Net Profit Margin (TTM),0.06849999999999999,0.10439999999999999,Profitability,1.524087591240876
Annual Dividend Yield,0.0169,0.013000000000000001,Dividend,0.7692307692307694
Dividend Change %,0.18710000000000002,0.1379,Dividend,0.7370390165686798
"Dividend Growth Rate, 3 Years",0.1092,0.0874,Dividend,0.8003663003663004
EPS Growth (MRQ),-1.0954000000000002,0.4617,Gowth rates,-0.42148986671535504
EPS Growth (TTM),-0.2009,0.1981,Gowth rates,-0.9860627177700348
Revenue Growth (MRQ),0.0053,0.7184999999999999,Gowth rates,135.56603773584905
Revenue Growth (TTM),0.0262,0.08449999999999999,Gowth rates,3.225190839694656
Return On Equity (TTM),0.1125,,Effectiveness,
Return On Assets (TTM),-0.0951,0.1354,Effectiveness,-1.4237644584647737
Return On Investment (TTM),0.10980000000000001,0.21300000000000002,Effectiveness,1.9398907103825138
Revenue Per Employee (TTM),302464.0,376389.0,Effectiveness,1.2444092520101566
Total Debt/Total Capital (MRQ),0.48869999999999997,1.0632,Financial strength,2.1755678330263963
Change in Debt/Total Capital Quarter over Quarter,0.015300000000000001,0.0005,Financial strength,0.0326797385620915
Quick Ratio (MRQ),1.29,1.32,Financial strength,1.0232558139534884
Interest Coverage (MRQ),8.78,6.43,Financial strength,0.7323462414578588
