,PG
% Below High,0.09480000000000001
% Held by Institutions,0.6225999999999999
52-Wk Range,['94.34 - 128.09']
Annual Dividend $,3.16
Annual Dividend %,0.0282
Ask,116.25
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,0.4
Bid,115.96
Bid Size,300.0
Closing Price,115.95
Day Change $,3.78
Day Change %,0.0337
Day High,116.3
Day Low,113.39
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.89
Ex-dividend,2020-04-23 00:00:00
Ex-dividend Date,04/23/20
Historical Volatility,0.32799999999999996
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,287.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",61.48
Prev Close,112.17
Short Interest,0.0073
Today's Open,113.52
Volume,9283095.0
Volume 10-day Avg,8767922.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.02941176470588225
Growth 1yr High Est,0.14601769911504436
Growth 1yr Consensus Est,0.0877147319104633
Growth 2yr Low Est,0.0696509372979961
Growth 2yr High Est,0.08941811596678861
Growth 2yr Consensus Est,0.07953452663239235
Growth 5yr Low Est,0.0762894678820043
Growth 5yr High Est,0.08441436823431825
Growth 5yr Consensus Est,0.08035191805816128
Growth 5yr Actual/Est,0.07331461337653633
Growth 3yr Historic,0.03690516490956569
Price/Earnings (TTM),61.48454
Price/Sales (TTM),4.08056
Price/Book (MRQ),6.43035
Price/Cash Flow (TTM),36.62296
5yr Low,65.02
5yr High,128.09
5yr Avg Return,0.07546666666666667
EPS Growth 5yr,-0.1577397
Revenue Growth 5yr,-0.018746
Dividend Growth 5yr,0.0342817
Short Int Current Month,18029010.0
Short Int Prev Month,20153201.0
Short Int Pct of Float,0.0073097
Days to Cover,1.7498
Float,2472.947
Shares Outstanding,2475.643
Institutions Holding Shares,3314.0
FCF Growth 5yr,0.028949886146026893
"Price/Earnings (TTM, GAAP)",61.48
"PEG Ratio (TTM, GAAP)",8.17
Gross Profit Margin (TTM),0.5112
Operating Profit Margin (TTM),0.0998
Net Profit Margin (TTM),0.0722
Annual Dividend Yield,0.0273
Dividend Change %,0.04
"Dividend Growth Rate, 3 Years",0.0291
EPS Growth (MRQ),-0.2102
EPS Growth (TTM),-0.5474
Revenue Growth (MRQ),-0.0563
Revenue Growth (TTM),0.048499999999999995
Return On Equity (TTM),0.09570000000000001
Return On Assets (TTM),0.042300000000000004
Return On Investment (TTM),0.0571
Revenue Per Employee (TTM),725217.0
Total Debt/Total Capital (MRQ),0.4394
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),37.11
theStreet,buy
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,4
ford,3
creditSuisse,neutral
theStreet since,2020-04-15 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-18 00:00:00
ford since,2020-04-24 00:00:00
creditSuisse since,2019-03-06 00:00:00
