,Industry,Type,WMB,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-27.97,Valuation,158.1,-5.652484805148373
Price/Sales (TTM),3.28,Valuation,2.93,0.8932926829268294
Price/Book (MRQ),2.45,Valuation,1.92,0.7836734693877551
"PEG Ratio (TTM, GAAP)",0.2,Valuation,79.85,399.24999999999994
Gross Profit Margin (TTM),0.3971,Profitability,0.763,1.9214303701838327
Operating Profit Margin (TTM),-0.0115,Profitability,0.0919,-7.991304347826087
Net Profit Margin (TTM),-0.014199999999999999,Profitability,-0.0068000000000000005,0.4788732394366198
Annual Dividend Yield,0.06480000000000001,Dividend,0.08220000000000001,1.2685185185185184
Dividend Change %,0.145,Dividend,0.1176,0.8110344827586207
"Dividend Growth Rate, 3 Years",0.0893,Dividend,-0.032799999999999996,-0.36730123180291147
EPS Growth (MRQ),-3.7138999999999998,Gowth rates,-4.7574000000000005,1.2809714855004175
EPS Growth (TTM),-1.4016,Gowth rates,6.296799999999999,-4.492579908675799
Revenue Growth (MRQ),0.046900000000000004,Gowth rates,-0.09210000000000002,-1.9637526652452026
Revenue Growth (TTM),-0.0143,Gowth rates,-0.0684,4.783216783216783
Return On Equity (TTM),0.045899999999999996,Effectiveness,0.011200000000000002,0.24400871459694995
Return On Assets (TTM),0.015700000000000002,Effectiveness,-0.0012,-0.07643312101910826
Return On Investment (TTM),0.025099999999999997,Effectiveness,-0.0014000000000000002,-0.0557768924302789
Revenue Per Employee (TTM),3748028.0,Effectiveness,1674979.0,0.44689607441566603
Total Debt/Total Capital (MRQ),0.3797,Financial strength,0.5956,1.5686067948380302
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,Financial strength,-0.0001,-0.058823529411764705
Quick Ratio (MRQ),0.81,Financial strength,0.69,0.8518518518518517
Interest Coverage (MRQ),3.41,Financial strength,2.28,0.6686217008797654
