,WMB
% Below High,0.33
% Held by Institutions,0.8724
52-Wk Range,['8.41 - 29.06']
Annual Dividend $,1.6
Annual Dividend %,0.0833
Ask,19.7
Ask Size,2000.0
B/A Ratio,0.3
B/A Size,600x2000
Beta,1.8
Bid,19.47
Bid Size,600.0
Closing Price,19.47
Day Change $,0.26
Day Change %,0.013500000000000002
Day High,19.7
Day Low,19.05
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",0.12
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.59
Last (size),700.0
Last (time),6:30p ET 05/08/20
Market Cap,23.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",158.1
Prev Close,19.21
Short Interest,0.0196
Today's Open,19.59
Volume,8303255.0
Volume 10-day Avg,11706346.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.026666666666666616
Growth 2yr High Est,0.06400000000000006
Growth 2yr Consensus Est,0.04533333333333334
Growth 5yr Low Est,0.026666666666666616
Growth 5yr High Est,0.06400000000000006
Growth 5yr Consensus Est,0.04533333333333334
Growth 5yr Actual/Est,0.03621112860786416
Growth 3yr Historic,0.021185876082611604
Price/Earnings (TTM),158.0999
Price/Sales (TTM),2.93064
Price/Book (MRQ),1.91713
Price/Cash Flow (TTM),14.15275
5yr Low,8.41
5yr High,61.38
5yr Avg Return,-0.11348333333333334
EPS Growth 5yr,-0.2461157
Revenue Growth 5yr,0.0143523
Dividend Growth 5yr,0.0169471
Short Int Current Month,23748628.0
Short Int Prev Month,19835933.0
Short Int Pct of Float,0.0196368
Days to Cover,1.26381
Float,1209.883
Shares Outstanding,1213.197
Institutions Holding Shares,1074.0
FCF Growth 5yr,8.647494741709759
"Price/Earnings (TTM, GAAP)",158.1
"PEG Ratio (TTM, GAAP)",79.85
Gross Profit Margin (TTM),0.763
Operating Profit Margin (TTM),0.0919
Net Profit Margin (TTM),-0.0068000000000000005
Annual Dividend Yield,0.08220000000000001
Dividend Change %,0.1176
"Dividend Growth Rate, 3 Years",-0.032799999999999996
EPS Growth (MRQ),-4.7574000000000005
EPS Growth (TTM),6.296799999999999
Revenue Growth (MRQ),-0.09210000000000002
Revenue Growth (TTM),-0.0684
Return On Equity (TTM),0.011200000000000002
Return On Assets (TTM),-0.0012
Return On Investment (TTM),-0.0014000000000000002
Revenue Per Employee (TTM),1674979.0
Total Debt/Total Capital (MRQ),0.5956
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),2.28
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,hold
creditSuisse,outperform
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-11-02 00:00:00
theStreet since,2016-06-20 00:00:00
creditSuisse since,2018-10-10 00:00:00
ford since,2019-11-01 00:00:00
