,VAR
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3565217391304347
Growth 1yr High Est,-0.09033613445378141
Growth 1yr Consensus Est,-0.22342893679210807
Growth 2yr Low Est,0.03964453584018801
Growth 2yr High Est,0.12804209443592685
Growth 2yr Consensus Est,0.08384331513805743
Growth 5yr Low Est,0.0415812057116404
Growth 5yr High Est,0.10462065554987714
Growth 5yr Consensus Est,0.07310093063075877
Growth 5yr Actual/Est,0.11511631091115393
Growth 3yr Historic,0.06882227249874306
