,VAR
% Above Low,0.3245
% Held by Institutions,0.9308
52-Wk Range,['89.62 - 150.06']
Annual Dividend $,
Annual Dividend %,
Ask,148.98
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,88.54
Bid Size,100.0
Closing Price,118.7
Day Change $,1.76
Day Change %,0.0151
Day High,119.15
Day Low,117.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.57
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),4200.0
Last (time),6:30p ET 05/08/20
Market Cap,10.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",46.25
Prev Close,116.94
Short Interest,0.0334
Today's Open,118.71
Volume,590050.0
Volume 10-day Avg,907806.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3565217391304347
Growth 1yr High Est,-0.09033613445378141
Growth 1yr Consensus Est,-0.22342893679210807
Growth 2yr Low Est,0.03964453584018801
Growth 2yr High Est,0.12804209443592685
Growth 2yr Consensus Est,0.08384331513805743
Growth 5yr Low Est,0.0415812057116404
Growth 5yr High Est,0.10462065554987714
Growth 5yr Consensus Est,0.07310093063075877
Growth 5yr Actual/Est,0.11511631091115393
Growth 3yr Historic,0.06882227249874306
Price/Earnings (TTM),46.2485
Price/Sales (TTM),3.23369
Price/Book (MRQ),5.78355
Price/Cash Flow (TTM),39.32055
5yr Low,71.07
5yr High,150.06
5yr Avg Return,0.06526666666666667
EPS Growth 5yr,-0.0329284
Revenue Growth 5yr,0.011240300000000002
Dividend Growth 5yr,
Short Int Current Month,3020026.0
Short Int Prev Month,2478684.0
Short Int Pct of Float,0.0334397
Days to Cover,3.99082
Float,90.31877
Shares Outstanding,90.66585
Institutions Holding Shares,829.0
FCF Growth 5yr,-0.014265231405437496
"Price/Earnings (TTM, GAAP)",46.25
"PEG Ratio (TTM, GAAP)",4.67
Gross Profit Margin (TTM),0.43270000000000003
Operating Profit Margin (TTM),0.099
Net Profit Margin (TTM),0.0709
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5086
EPS Growth (TTM),-0.3738
Revenue Growth (MRQ),-0.0415
Revenue Growth (TTM),0.098
Return On Equity (TTM),0.1309
Return On Assets (TTM),0.061
Return On Investment (TTM),0.106
Revenue Per Employee (TTM),330759.0
Total Debt/Total Capital (MRQ),0.2175
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),78.0
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,2
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-04-05 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-04-05 00:00:00
theStreet since,2020-05-05 00:00:00
ford since,2019-11-01 00:00:00
creditSuisse since,
